#SampleID	emp_cr_gg_13_8.summary.txt.tsv	emp_cr_silva_16S_123.summary.txt.tsv	emp_or_gg_13_8.summary.txt.tsv	emp.90.min25.deblur.withtax.onlytree.summary.txt.tsv	emp.100.min25.deblur.withtax.onlytree.summary.txt.tsv	emp.150.min25.deblur.withtax.onlytree.summary.txt.tsv
1024.HE003.C181.HA.5.372.rhizo.9.11.G1.L00	4117.0	4515.0	5847.0	3081.0	2944.0	2236.0
1024.MU002.C3.HA.1.176.flw.6.11.G1.L00	3258.0	3262.0	3580.0	2614.0	2557.0	1960.0
1024.MU002.C3.HA.1.276.bulk.9.11.G1.L00	2.0	3.0	4.0	0.0	0.0	0.0
1024.MU002.C3.HA.1.277.r1.rhizo.9.11.G1.L00	5909.0	6366.0	8493.0	4529.0	4455.0	3260.0
1024.MU002.C3.HA.1.277.rhizo.9.11.G1.L00	3697.0	3986.0	5401.0	2676.0	2587.0	1845.0
1024.MU002.C3.HA.1.476.bulk.4.12.G1.L00	8068.0	8779.0	11213.0	5886.0	5752.0	4517.0
1024.MU002.C3.HA.1.61.bulk.6.11.G1.L00	6800.0	7340.0	9488.0	4788.0	4627.0	3494.0
1024.MU002.C3.HA.1.62.rhizo.6.11.G1.L00	4725.0	5168.0	6778.0	3363.0	3298.0	2449.0
1024.MU002.C3.HA.2.177.flw.6.11.G1.L00	3612.0	3617.0	3863.0	2900.0	2832.0	2281.0
1024.MU002.C3.HA.2.281.bulk.9.11.G1.L00	4877.0	5214.0	6946.0	3562.0	3466.0	2604.0
1024.MU002.C3.HA.2.282.rhizo.9.11.G1.L00	4973.0	5372.0	7531.0	3993.0	3874.0	2804.0
1024.MU002.C3.HA.2.65.bulk.6.11.G1.L00	5479.0	5908.0	7847.0	3997.0	3851.0	2818.0
1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00	18687.0	20021.0	26038.0	14054.0	14063.0	11419.0
1024.MU002.C3.HA.3.178.flw.6.11.G1.L00	3188.0	3182.0	3308.0	2471.0	2409.0	1970.0
1024.MU002.C3.HA.3.286.bulk.rhizo.9.11.G1.L00	4105.0	4587.0	6148.0	3026.0	2960.0	2267.0
1024.MU002.C3.HA.3.287.rhizo.9.11.G1.L00	3479.0	3762.0	5054.0	2478.0	2408.0	1720.0
1024.MU002.C3.HA.3.290.gp.9.11.Gilbert.Merlot.miseq.S0.L001.001				0.0	0.0	0.0
1024.MU002.C3.HA.3.486.bulk.4.12.G1.L00	7716.0	8351.0	10577.0	5666.0	5637.0	4491.0
1024.MU002.C3.HA.3.69.bulk.6.11.G1.L00	5096.0	5466.0	7035.0	3567.0	3425.0	2525.0
1024.MU002.C3.HA.3.70.rhizo.6.11.G1.L00	5361.0	5726.0	7240.0	3841.0	3722.0	2868.0
1024.MU002.C3.HA.4.179.flw.6.11.G1.L00	5622.0	5627.0	6093.0	4459.0	4379.0	3489.0
1024.MU002.C3.HA.4.291.bulk.9.11.G1.L00	3257.0	3655.0	4881.0	2344.0	2266.0	1627.0
1024.MU002.C3.HA.4.292.rhizo.9.11.G1.L00	3758.0	4295.0	5798.0	2747.0	2638.0	1896.0
1024.MU002.C3.HA.4.491.bulk.4.12.G1.L00	6405.0	6901.0	8527.0	4359.0	4267.0	3348.0
1024.MU002.C3.HA.4.73.bulk.6.11.G1.L00	1571.0	1660.0	2156.0	871.0	825.0	573.0
1024.MU002.C3.HA.4.74.rhizo.6.11.G1.L00	4967.0	5306.0	6709.0	3260.0	3188.0	2403.0
1024.MU002.C3.HA.5.180.flw.6.11.G1.L00	4030.0	4034.0	4235.0	3250.0	3187.0	2632.0
1024.MU002.C3.HA.5.296.bulk.9.11.G1.L00	4426.0	4812.0	6574.0	3267.0	3143.0	2295.0
1024.MU002.C3.HA.5.297.rhizo.9.11.G1.L00	5023.0	5493.0	7310.0	3882.0	3747.0	2788.0
1024.MU002.C3.HA.5.496.bulk.4.12.G1.L00	7019.0	7549.0	9659.0	4862.0	4779.0	3686.0
1024.MU002.C3.HA.5.77.bulk.6.11.G1.L00	3486.0	3736.0	4924.0	2356.0	2270.0	1631.0
1024.MU002.C3.HA.5.78.rhizo.6.11.G1.L00	4015.0	4385.0	5883.0	3096.0	2967.0	2173.0
1024.RU006.C181.RH.1.141.bulk.6.11.G1.L00	6689.0	7075.0	8921.0	4674.0	4575.0	3489.0
1024.RU006.C181.RH.1.142.rhizo.6.11.G1.L00	3716.0	4067.0	5422.0	2793.0	2697.0	1911.0
1024.RU006.C181.RH.1.196.flw.6.11.G1.L00	4345.0	4333.0	4479.0	3161.0	3096.0	2785.0
1024.RU006.C181.RH.1.376.bulk.9.11.G1.L00	6488.0	6994.0	9193.0	4707.0	4629.0	3514.0
1024.RU006.C181.RH.1.377.rhizo.9.11.G1.L00	4423.0	4736.0	6248.0	3092.0	2974.0	2218.0
1024.RU006.C181.RH.1.576.bulk.4.12.G1.L00	8013.0	8548.0	10875.0	5865.0	5784.0	4515.0
1024.RU006.C181.RH.2.145.bulk.6.11.G1.L00	4269.0	4580.0	5784.0	2727.0	2614.0	1886.0
1024.RU006.C181.RH.2.146.rhizo.6.11.G1.L00	213.0	224.0	288.0	68.0	62.0	33.0
1024.RU006.C181.RH.2.197.flw.6.11.G1.L00	4152.0	4150.0	4400.0	3241.0	3185.0	2688.0
1024.RU006.C181.RH.2.381.bulk.9.11.G1.L00	3305.0	3610.0	4632.0	2288.0	2174.0	1600.0
1024.RU006.C181.RH.2.382.rhizo.9.11.G1.L00	5459.0	5862.0	7739.0	4190.0	4058.0	3091.0
1024.RU006.C181.RH.3.149.bulk.6.11.G1.L00	4704.0	4997.0	6499.0	3216.0	3106.0	2237.0
1024.RU006.C181.RH.3.150.rhizo.6.11.G1.L00	5281.0	5608.0	7022.0	3695.0	3585.0	2663.0
1024.RU006.C181.RH.3.198.flw.6.11.G1.L00	3798.0	3794.0	4024.0	2820.0	2769.0	2264.0
1024.RU006.C181.RH.3.386.bulk.9.11.G1.L00	5442.0	5923.0	7642.0	3962.0	3868.0	2897.0
1024.RU006.C181.RH.3.387.rhizo.9.11.G1.L00	4713.0	5062.0	6490.0	3338.0	3238.0	2416.0
1024.RU006.C181.RH.3.586.bulk.4.12.G1.L00	7667.0	8147.0	10401.0	5481.0	5373.0	4148.0
1024.RU006.C181.RH.4.153.bulk.6.11.G1.L00	6264.0	6706.0	8477.0	4286.0	4159.0	3007.0
1024.RU006.C181.RH.4.154.rhizo.6.11.G1.L00	4433.0	4714.0	6115.0	3368.0	3327.0	2528.0
1024.RU006.C181.RH.4.199.flw.6.11.G1.L00	4127.0	4117.0	4346.0	3277.0	3240.0	2713.0
1024.RU006.C181.RH.4.391.bulk.9.11.G1.L00	7997.0	8587.0	11129.0	5764.0	5672.0	4334.0
1024.RU006.C181.RH.4.392.rhizo.9.11.G1.L00	4389.0	4684.0	6238.0	3120.0	3033.0	2271.0
1024.RU006.C181.RH.4.393.root.9.11.G1.L00	228.0	239.0	282.0	114.0	111.0	81.0
1024.RU006.C181.RH.4.395.gp.9.11.Gilbert.Merlot.miseq.S0.L001.001	1.0	1.0	1.0	0.0	0.0	0.0
1024.RU006.C181.RH.4.591.bulk.4.12.G1.L00	8610.0	9155.0	11606.0	6119.0	6015.0	4802.0
1024.RU006.C181.RH.5.157.bulk.6.11.G1.L00	4673.0	5045.0	6428.0	3189.0	3079.0	2181.0
1024.RU006.C181.RH.5.159.root.6.11.G1.L00	3623.0	3841.0	4679.0	2699.0	2662.0	2236.0
1024.RU006.C181.RH.5.200.flw.6.11.G1.L00	4390.0	4391.0	4648.0	3345.0	3286.0	2779.0
1024.RU006.C181.RH.5.396.bulk.9.11.G1.L00	5975.0	6508.0	8419.0	4306.0	4146.0	3169.0
1024.RU006.C181.RH.5.397.rhizo.9.11.G1.L00	3455.0	3685.0	4705.0	2276.0	2189.0	1577.0
1024.RU006.C181.RH.5.596.bulk.4.12.G1.L00	7654.0	8093.0	10343.0	5460.0	5362.0	4205.0
1024.SH004.C1.RH.1.1.bulk.6.11.G1.L00	7556.0	8105.0	10129.0	5126.0	5010.0	3747.0
1024.SH004.C1.RH.1.161.flw.6.11.G1.L00	3776.0	3774.0	3870.0	3027.0	2981.0	2560.0
1024.SH004.C1.RH.1.2.rhizo.6.11.G1.L00	1941.0	2062.0	2614.0	1339.0	1311.0	974.0
1024.SH004.C1.RH.1.201.bulk.9.11.G1.L00	6793.0	7356.0	9245.0	4641.0	4523.0	3516.0
1024.SH004.C1.RH.1.202.rhizo.9.11.G1.L00	5462.0	5871.0	7354.0	3641.0	3564.0	2703.0
1024.SH004.C1.RH.2.162.flw.6.11.G1.L00	3848.0	3838.0	4042.0	2997.0	2934.0	2368.0
1024.SH004.C1.RH.2.206.bulk.9.11.G1.L00	6500.0	7026.0	8864.0	4360.0	4242.0	3258.0
1024.SH004.C1.RH.2.207.rhizo.9.11.G1.L00	4157.0	4498.0	5707.0	2825.0	2694.0	1986.0
1024.SH004.C1.RH.2.6.rhizo.6.11.G1.L00	4497.0	4920.0	6397.0	3469.0	3351.0	2525.0
1024.SH004.C1.RH.3.10.rhizo.6.11.G1.L00	3852.0	4253.0	5674.0	3080.0	2964.0	2203.0
1024.SH004.C1.RH.3.11.root.6.11.G1.L00	5186.0	5542.0	6629.0	3737.0	3698.0	3203.0
1024.SH004.C1.RH.3.163.flw.6.11.G1.L00	6337.0	6302.0	6537.0	4263.0	4192.0	4142.0
1024.SH004.C1.RH.3.211.bulk.9.11.G1.L00	9661.0	10465.0	13519.0	6884.0	6812.0	5486.0
1024.SH004.C1.RH.3.212.rhizo.9.11.G1.L00	5153.0	5570.0	7091.0	3400.0	3280.0	2484.0
1024.SH004.C1.RH.3.9.bulk.6.11.G1.L00	5063.0	5418.0	6922.0	3358.0	3255.0	2421.0
1024.SH004.C1.RH.4.13.bulk.6.11.G1.L00	3887.0	4184.0	5275.0	2506.0	2406.0	1799.0
1024.SH004.C1.RH.4.14.rhizo.6.11.G1.L00	5196.0	5551.0	7078.0	3455.0	3371.0	2506.0
1024.SH004.C1.RH.4.164.flw.6.11.G1.L00	5210.0	5214.0	5448.0	4294.0	4238.0	3650.0
1024.SH004.C1.RH.4.216.bulk.9.11.G1.L00	6521.0	6984.0	8862.0	4491.0	4379.0	3416.0
1024.SH004.C1.RH.4.217.rhizo.9.11.G1.L00	2892.0	3106.0	4067.0	2049.0	1981.0	1403.0
1024.SH004.C1.RH.5.165.flw.6.11.G1.L00	6255.0	6243.0	6659.0	4985.0	4881.0	4033.0
1024.SH004.C1.RH.5.17.bulk.6.11.G1.L00	5997.0	6403.0	8095.0	3838.0	3702.0	2756.0
1024.SH004.C1.RH.5.18.rhizo.6.11.G1.L00	4172.0	4447.0	5815.0	3160.0	3065.0	2398.0
1024.SH004.C1.RH.5.19.root.6.11.G1.L00	4770.0	5209.0	6609.0	3705.0	3622.0	2936.0
1024.SH004.C1.RH.5.221.bulk.9.11.G1.L00	5538.0	5946.0	7618.0	3706.0	3622.0	2794.0
1024.SH004.C1.RH.5.222.rhizo.9.11.G1.L00	3198.0	3445.0	4440.0	2093.0	2003.0	1396.0
1024.SH005.C3.RH.1.171.flw.6.11.G1.L00	3448.0	3447.0	3746.0	2361.0	2317.0	2309.0
1024.SH005.C3.RH.1.251.bulk.9.11.G1.L00	5441.0	5855.0	7365.0	3565.0	3473.0	2620.0
1024.SH005.C3.RH.1.252.rhizo.9.11.G1.L00	5338.0	5804.0	7742.0	3698.0	3561.0	2659.0
1024.SH005.C3.RH.1.41.bulk.6.11.G1.L00	6588.0	7071.0	8962.0	4489.0	4343.0	3302.0
1024.SH005.C3.RH.1.42.rhizo.6.11.G1.L00	3117.0	3303.0	4115.0	2040.0	1941.0	1437.0
1024.SH005.C3.RH.1.43.root.6.11.G1.L00	5908.0	6263.0	7725.0	4479.0	4369.0	3764.0
1024.SH005.C3.RH.2.172.flw.6.11.G1.L00	3384.0	3382.0	3777.0	2208.0	2170.0	2430.0
1024.SH005.C3.RH.2.256.bulk.9.11.G1.L00	3846.0	4152.0	5144.0	2480.0	2396.0	1800.0
1024.SH005.C3.RH.2.257.rhizo.9.11.G1.L00	5138.0	5665.0	7595.0	3883.0	3724.0	2765.0
1024.SH005.C3.RH.2.456.bulk.4.12.G1.L00	7278.0	8068.0	10345.0	5422.0	5324.0	4200.0
