#SampleID	split-libraries	adaptor-clean-up	cr_silva_seqs	cr_gg_seqs	or_gg_seqs	deblur_100nt_seqs	deblur_150nt_seqs
550.L1S313.s.1.sequence	49689	49689	48394	48307	49561	32362	4366
550.L1S314.s.1.sequence	47866	47866	46696	46265	47763	31605	2562
550.L1S315.s.1.sequence	42511	42511	41133	41055	42461	28230	1053
550.L1S316.s.1.sequence	41355	41355	39882	39820	41311	26979	1046
550.L1S317.s.1.sequence	38515	38515	37703	37585	38451	25578	2891
550.L1S318.s.1.sequence	49862	49862	48283	47983	49772	32952	1530
550.L1S319.s.1.sequence	43126	43126	41476	41333	43080	27830	1294
550.L1S32.s.1.sequence	36834	36834	36109	35698	36797	25258	856
550.L1S320.s.1.sequence	47992	47992	46249	46108	47917	31971	1103
550.L1S321.s.1.sequence	62585	62585	60999	60847	62413	41179	5081
550.L1S322.s.1.sequence	42207	42207	40820	40719	42152	28169	988
550.L1S323.s.1.sequence	38495	38495	36814	36776	38438	25506	935
550.L1S324.s.1.sequence	32811	32811	31466	31510	32779	22238	597
550.L1S325.s.1.sequence	37428	37428	36370	36309	37351	23655	2069
550.L1S326.s.1.sequence	41894	41894	40210	40134	41829	26982	1274
550.L1S327.s.1.sequence	40832	40832	39757	39549	40769	26748	1209
550.L1S328.s.1.sequence	59248	59248	57611	57318	59172	39197	1521
550.L1S329.s.1.sequence	45762	45762	44756	44617	45657	30428	3367
550.L1S33.s.1.sequence	37887	37887	36869	36457	37828	25767	860
550.L1S330.s.1.sequence	49670	49670	48516	48300	49608	32837	1491
550.L1S331.s.1.sequence	41181	41181	40083	39871	41133	27500	1170
550.L1S332.s.1.sequence	38574	38574	37688	37505	38527	25411	1194
550.L1S333.s.1.sequence	36963	36963	36033	35825	36919	24755	975
550.L1S334.s.1.sequence	35567	35567	34899	34689	35541	23738	4546
550.L1S335.s.1.sequence	52073	52073	50323	49950	51985	34201	1361
550.L1S336.s.1.sequence	43618	43618	42361	42091	43559	29089	1051
550.L1S337.s.1.sequence	43308	43308	42333	42097	43274	28705	1177
550.L1S338.s.1.sequence	49212	49212	48064	47824	49155	32845	1335
550.L1S339.s.1.sequence	46985	46984	45744	45558	46907	30987	1429
550.L1S34.s.1.sequence	33280	33280	32424	32165	33219	22013	928
550.L1S340.s.1.sequence	39121	39121	38272	38142	39090	26104	894
550.L1S341.s.1.sequence	39153	39153	38302	38172	39115	26490	879
550.L1S342.s.1.sequence	39365	39365	38374	38199	39308	25918	1160
550.L1S343.s.1.sequence	39535	39535	38340	38135	39468	25968	1185
550.L1S344.s.1.sequence	47236	47236	45957	45707	47163	31125	1432
550.L1S345.s.1.sequence	42144	42144	40954	40717	42096	27979	1003
550.L1S346.s.1.sequence	38716	38716	37771	37600	38668	25665	876
550.L1S347.s.1.sequence	35654	35654	35073	34996	35602	24156	2917
550.L1S348.s.1.sequence	37755	37755	36958	36749	37712	24972	896
550.L1S349.s.1.sequence	36388	36388	35526	35380	36340	24145	851
550.L1S35.s.1.sequence	33070	33070	32067	31715	33007	21877	1223
550.L1S350.s.1.sequence	42023	42023	40979	40772	41970	28060	1165
550.L1S351.s.1.sequence	41608	41608	40535	40361	41552	27805	912
