SampleID	Number of novel OTUs	Percent novel sequences
B.N.14.1.414781	16913	50.036570294832238
W.3.2.H.E.3.479612	16881	86.567987179708098
N.1.1.S.E.3.479921	16875	86.192563375497173
N.2.3.S.E.3.479749	16813	73.158826625831466
IDF3.OM2C0.ORG.414822	16804	32.647136259810864
605.538681	16793	53.293514635489473
HCanyon3R2.603135	16788	57.601141139730913
SV1.5.378604	16788	54.527114628040053
590.538655	16737	60.983428227560985
N.1.3.S.E.4.479853	16731	74.762320403220969
ME13Aug01EB2R3.486677	16713	33.228136539113613
579.538650	16707	52.958470763037823
SV1.6.378565	16706	54.948833581429582
MAE11Sept07.618693	16694	61.635262094027432
558.538713	16644	43.690012353891476
W.2.2.H.E.5.479609	16608	80.657527396974871
366.538652	16607	52.676286044351826
DC3.414838	16603	41.123159706099258
KH25.488287	16602	31.930343413942136
NZFACE.R2.control.23.4.604737	16553	34.100407648881855
T.2.3.S.E.3.479852	16539	76.80814567416347
629.538689	16522	47.529806959192925
N.3.2.S.E.4.479889	16506	76.085494017964294
773.538598	16504	52.130925412317666
B.N.21.2.414768	16470	50.092702681772415
N.2.3.H.E.2.479697	16469	74.584792547427369
W.3.1.S.E.1.479801	16440	79.274209769762507
HCanyon0R1.603107	16435	42.092358557075535
PLRP13.35.589054	16387	60.470526825994554
AK.19.12a.414616	16385	44.575213544064241
593.538795	16364	54.414005827633716
W.3.2.S.E.4.479926	16322	78.935857362161769
T.3.2.H.E.2.479796	16321	62.704326537593943
HCanyon2R3.603188	16287	59.035719568952757
572.538574	16267	62.407216833439158
CL3.1.378507	16265	42.34744152680662
589.538642	16250	55.833321305370731
582.538657	16247	50.01236491332196
B.C.14.1.414784	16163	47.044022567228097
Arctic.Tundra.1.488666	16139	43.258521337121408
UT.15.44.414611	16114	55.1247574087242
B.C.0.2.414756	16109	54.346326914125129
AQC1cm.6.378645	16100	52.749869459432432
601.538760	16094	48.105021896615234
576.538704	16093	51.969768338115017
Wetland.soil.488664	16075	51.674968866749694
IDF1.REF.MIN.414821	16067	36.606025106524712
556.538737	15999	47.582897331555131
T.3.1.H.E.3.479664	15982	65.278146281064835
KH60.488319	15978	31.815671474970088
522.538575	15972	64.399777695442765
LbF.479932	15972	63.243622176841718
401.538538	15958	48.630176590995831
SBS3.OM2C0.ORG.414816	15937	34.394196744515213
T.3.2.H.E.4.479770	15925	65.791572410956562
CH2.414853	15900	40.7943637339269
A.N.2.2.414760	15899	38.200777761774454
N.2.1.S.E.3.479882	15898	79.706467704555052
N.2.1.S.E.4.479693	15886	78.731537496693605
631.538590	15881	46.881389418548551
CBH20Aug07.618179	15849	60.393450454234724
A.N.7.2.414765	15848	40.422156308201693
T.2.2.S.E.1.479587	15846	77.65005835493902
T.3.2.H.E.5.479930	15846	66.541153954170525
SSBE17Sept07.618118	15779	67.537223297775881
LuA.479576	15778	64.79108485017197
KH65.488325	15763	29.93251290194522
DIRT14.414840	15758	37.93583945556226
506.538710	15725	59.811614647622399
531.538582	15715	52.167824805222153
MAH24June08.617766	15666	72.49932295732242
T.3.1.H.E.5.479662	15653	67.69419375032605
N.2.3.S.E.4.479650	15641	79.688763240693532
T.3.2.S.E.1.479727	15636	74.724848899647228
T.2.1.S.E.3.479603	15621	75.435165643696635
B.C.7.2.414776	15609	48.820183461129687
Soil.NIL.100.N.10.2.479845	15604	49.165009286806161
AQC1cm.5.378621	15603	52.855490480474423
N.2.3.S.E.5.479830	15599	75.344307588475985
SBS2.REF.MIN.414823	15595	36.527231001735174
416.538768	15578	51.197505245176153
AK.19.18a.414617	15575	50.708128078817737
TBE290ct07.617822	15565	47.199229427787678
357.538577	15508	50.31524785003382
HCanyon3R3.603146	15477	59.489012536977036
NZFACE.R4.warm.604742	15471	36.266813604867075
CHB2.414602	15427	40.482283933936323
W.1.3.S.E.5.479694	15421	81.858914194890275
B.N.2.1.414772	15408	50.788868586914127
ME06Aug04EB2R1.486637	15404	24.182228316157286
KH6.488262	15382	34.464425078043703
716.538665	15379	51.560848032941962
ME02Sep04EB1R2.486665	15363	29.829139823879437
SV1.1.378648	15345	55.080905594435549
704.538651	15344	55.803611023123224
HCanyon4R1.603185	15339	53.820554435318613
IDF2.OM2C0.MIN.414830	15337	31.758379450767464
PLRP18.10.589048	15303	60.772032200603633
W.3.2.H.E.5.479713	15292	77.90697050794553
CHD8.414600	15287	45.884995066369605
ME29Aug02EB1R1.486650	15263	34.044720244298318
KH4.488274	15249	32.544139526483718
BMC.7.1T.20.3.479860	15221	53.591764732152825
384.538558	15194	60.295078479935569
548.538731	15184	50.942184413664407
413.538634	15174	52.390321656725156
T.3.1.H.P.1.479672	15130	74.271496435863099
T.2.3.H.P.5.479661	15129	65.289807078323477
ME31Aug05EB2R1.486695	15122	28.528767356911526
T.3.3.S.E.5.479820	15119	74.903520891895752
T.2.2.S.E.5.479859	15094	73.309973389713122
753.538784	15091	45.688928054384085
UT.15.45.414619	15084	54.672138204149569
N.1.3.S.E.1.479563	15077	71.203345616403368
BuI.479604	15067	65.399703162461464
562.538678	15035	55.928637723007114
B.N.2.2.414777	15018	50.104196802016268
559.538712	15009	48.091797596748094
SBS1.REF.MIN.414828	15008	36.681929520081731
364.538674	15006	55.099248554295421
T.2.2.S.E.4.479746	14994	76.977307459415826
CL3.3.378600	14990	41.439874391970939
AK.19.12a.414608	14973	43.591528865680303
SV1.7.378550	14965	54.707362852998884
HI.20.11a.414621	14959	47.854048466388377
B.Ac.14.1.414753	14956	45.612592617235954
352.538705	14951	46.652232017984609
ME26Aug09EB1R2.486610	14949	27.469217354542092
N.1.2.S.E.2.479866	14941	61.683762204039681
B.Ac.7.1.414800	14909	51.600365797896664
B.N.14.2.414752	14893	48.278534367882358
B.Ac.21.1.414803	14879	49.718919252232716
T.2.2.H.P.3.479579	14865	72.464856631826052
MAE28June07.617875	14846	58.042444495766397
CHF6.414596	14819	36.59417902808115
T.2.3.H.E.2.479816	14794	72.505293446984084
T.3.1.H.P.2.479656	14788	64.688720066526656
588.538811	14784	58.299618211863923
CH3.414847	14759	44.259048736660681
B.Ac.14.2.414766	14755	45.68762552733493
SBS1.REF.ORG.414831	14747	40.37579245912579
W.3.2.S.E.3.479808	14728	76.080128394478251
N.1.1.S.E.1.479629	14694	79.455654891317323
BbB.479803	14666	49.538993033924221
