	PD_whole_tree	chao1	observed_otus	shannon
1030.TVF.Control.Loc2.D0.Rep2	0.0242486144636	4676.5687885	3089.0	9.22172640096
1030.TVF.2004.Loc3.D0.Rep2	0.0247899839446	4722.26624738	3148.0	9.58644329777
1030.TVF.2004.Loc4.D0.Rep4	0.0151814348961	2847.28093645	1839.0	7.61220366946
1030.TVF.Control.Loc1.D0.Rep5	0.00539237564186	993.243243243	576.0	5.33937007754
1030.TVF.2004.Loc1.D0.Rep4	0.0163879966933	2953.19298246	2083.0	8.17596584654
1030.TVF.2010.Loc2.D0.Rep2	0.00971460665535	1921.46666667	1139.0	6.99706904241
1030.TVF.2010.Loc3.D0.Rep1	0.0173841340844	3395.08695652	2125.0	8.53297055936
1030.TVF.Control.Loc4.D0.Rep2	0.0226237630049	4458.74626866	2894.0	8.70371494954
1030.TVF.Control.Loc5.D10.Rep2	0.0118930224462	2254.27777778	1295.0	6.96256863969
1030.TVF.2004.Loc5.D0.Rep1	0.0254430474305	5097.14505495	3207.0	9.47646437706
1030.TVF.2004.Loc5.D10.Rep4	0.0207090236638	3726.11145511	2298.0	8.29093424109
1030.TVF.2010.Loc1.D0.Rep5	0.01885478748	3662.18975904	2313.0	8.61357360383
1030.TVF.2010.Loc4.D0.Rep3	0.0182899469947	3873.36760125	2286.0	8.55527290397
1030.TVF.2010.Loc5.D0.Rep1	0.0159743956377	3290.40357143	1962.0	7.99515229095
1030.TVF.2010.Loc5.D0.Rep3	0.0194448390128	3999.94736842	2486.0	8.94427307285
1030.TVF.2004.Loc4.D0.Rep5	0.0244649337564	4715.29059829	3095.0	9.46361849234
1030.TVF.Control.Loc3.D0.Rep1	0.0185255925194	3755.39871383	2266.0	8.09604484231
1030.TVF.Control.Loc3.D10.Rep2	0.0218284478894	4297.00767263	2680.0	8.92827520393
1030.TVF.2004.Loc1.D0.Rep2	0.0135366417562	2684.56338028	1679.0	8.04711716158
1030.TVF.2004.Loc1.D0.Rep3	0.0165374781755	3340.23157895	2092.0	8.19261585393
1030.TVF.2004.Loc3.D0.Rep4	0.0207783322243	3844.89434889	2583.0	8.82334080797
1030.TVF.2004.Loc4.D0.Rep1	0.0151797060426	2937.87588652	1855.0	7.55465645703
1030.TVF.2004.Loc4.D10.Rep4	0.0188044963077	3487.08408408	2283.0	8.70682704926
1030.TVF.2004.Loc2.D10.Rep3	0.0221268356884	4116.98305085	2672.0	9.05618008278
1030.TVF.2010.Loc4.D0.Rep2	0.0177888547639	3672.39344262	2160.0	8.16856365632
1030.TVF.2010.Loc5.D0.Rep2	0.0105583520478	1879.65957447	1245.0	7.32094289957
1030.TVF.2010.Loc1.D0.Rep4	0.0127096544928	2381.99526066	1493.0	6.89236085819
1030.TVF.Control.Loc5.D0.Rep1	0.0151167522775	3187.58565737	1879.0	7.5439601815
