	PD_whole_tree	chao1	observed_otus	shannon
808.ut.15.44.s.4.1.sequences	0.0277698934826	2432.56175299	1545.0	8.94575976969
808.ut.15.45.s.4.1.sequences	0.0286463789241	2632.83913043	1560.0	8.89061601729
808.ut.15.42.s.4.1.sequences	0.0266456630106	2388.99606299	1538.0	8.96699238118
808.ut.15.42.s.4.1.sequences.r	0.026387129038	2221.76494024	1472.0	8.83639149643
808.fl.3.16a.s.4.1.sequences	0.0216128111424	1758.91061453	1130.0	7.95493498117
808.ak.19.15a.s.4.1.sequences	0.0194532783119	1712.04081633	1040.0	8.05300388435
808.hi.20.11a.s.4.1.sequences.r	0.0291817487162	2625.88847584	1669.0	9.15093673188
808.fl.3.14a.s.4.1.sequences	0.0169490807912	1145.93129771	837.0	7.46515718632
808.fl.3.13a.s.4.1.sequences	0.0231767681249	2028.76923077	1318.0	8.41440053394
809.plrp13.35	0.0306998305349	2341.93846154	1380.0	8.65446301132
809.plrp19.35	0.0367119446627	2847.21428571	1708.0	9.11117895561
809.plrp4.35	0.0298222353533	2199.48066298	1275.0	8.16173089288
809.plrp5.55	0.0257177501596	1582.44571429	1108.0	8.27359839684
809.plrp9.146	0.0226184660692	1204.01840491	873.0	6.88853757875
809.plrp20.106	0.0290557063579	1724.12173913	1249.0	8.36334737055
809.plrp14.150	0.0294921213758	2041.11229947	1219.0	7.71074665008
809.plrp21.150	0.013471871719	601.357142857	448.0	6.90684708942
809.plrp10.146	0.0239595354889	1448.48170732	974.0	7.50062839199
809.plrp12.60	0.0259214885022	1689.16756757	1121.0	7.99647918796
809.plrp11.85	0.0275303704558	1632.83937824	1166.0	8.46840040466
809.plrp8.41	0.0268112376417	1814.796875	1178.0	8.23170903287
809.plrp18.10	0.029988873633	2046.33333333	1301.0	8.52574874825
809.plrp3.85	0.0270995431385	1747.12698413	1159.0	7.89933356743
809.plrp6.70	0.0161534787342	924.677966102	584.0	7.45911879849
809.plrp1.50	0.0241812565837	1563.57534247	1006.0	7.79419358797
809.plrp16.mat	0.0253285363207	1259.65671642	857.0	7.13750722774
809.plrp15.mat	0.024469179167	1185.20833333	836.0	7.52024190158
809.plrp17.mat	0.0143170575279	667.294117647	402.0	4.55613857002
810.1230c2h2	0.00581399184981	175.7	147.0	2.34108250089
810.1230a1h1	0.0121866403049	559.948275862	404.0	4.60986130999
810.1230a2h2	0.00489559865367	216.25	130.0	2.60929428346
829.pd	0.0364949958046	3185.77023499	2113.0	9.7768035029
829.jj	0.0101755077262	786.526315789	289.0	6.4008788112
846.fagna24102011soil14c4	0.0356933380416	2883.91814947	1738.0	9.06804216902
846.fagna24102011soil4c3	0.0362004325086	3056.07581227	1790.0	9.08777544335
846.fagna24102011soil12a2	0.0380963896721	3244.16611296	1968.0	9.54435506593
846.fagna24102011soil4b4	0.0340845411799	2869.5	1674.0	8.84640776139
846.fagna24102011soil12c4	0.0328269681747	2631.54054054	1607.0	8.9114150132
846.fagna24102011soil4b3	0.0376280971058	3242.38834951	1898.0	9.2368703569
846.fagna24102011soil4c4	0.0323361581677	2448.46236559	1559.0	8.67131812077
846.fagna24102011soil15b4	0.0363954808422	3032.13559322	1809.0	9.09200452489
846.fagna24102011soil12b4	0.0389158351851	3247.73432836	1961.0	9.35999748943
846.fagna24102011soil4a2	0.0407168546206	3532.1849711	2123.0	9.65600126899
846.fagna24102011soil15a1	0.0351295475591	3186.76779026	1813.0	9.34727186342
846.fagna24102011soil12b3	0.0368087863217	3104.83061889	1865.0	9.32089996543
846.fagna24102011soil14c1	0.0361550537141	2892.47515528	1842.0	9.39823411666
846.fagna24102011soil14a1	0.0308450292044	2558.03053435	1548.0	8.81713309963
846.fagna24102011soil15c4	0.0381005591746	3211.18322981	1938.0	9.28334272174
846.fagna24102011soil4a1	0.0397172341269	3457.90789474	2167.0	9.81868501529
846.fagna24102011soil14a3	0.0373848654909	3066.05172414	1942.0	9.4005922478
846.fagna24102011soil12b2	0.0382407551502	3075.13354037	1920.0	9.45615699863
846.fagna24102011soil15c1	0.0351794610421	2757.39642857	1689.0	8.96374343878
846.fagna24102011soil12c2	0.0389857062612	3108.456	2044.0	9.59453189885
846.fagna24102011soil15c2	0.0359847174828	3089.32236842	1894.0	9.38975206693
846.fagna24102011soil12a4	0.0355996766919	2779.05	1727.0	8.89819638113
846.fagna24102011soil15b2	0.0379942935891	3269.44311377	2012.0	9.6449526047
846.fagna24102011soil14b3	0.0395730494691	3526.82758621	2005.0	9.56610906299
846.fagna24102011soil15a3	0.0383573771275	2988.6951567	1951.0	9.44943977814
846.fagna24102011soil12c3	0.0388260738803	3020.31547619	1921.0	9.43163830085
846.fagna24102011soil15b1	0.0320481150376	2606.68965517	1590.0	8.64773640295
846.fagna24102011soil15b3	0.0365119219992	3088.19795222	1848.0	9.23573421831
846.fagna24102011soil12c1	0.0373441171133	3183.25762712	1963.0	9.66241582699
846.fagna24102011soil4b1	0.0373571148991	3103.81818182	1857.0	9.39363213698
846.fagna24102011soil4c2	0.036710257007	2980.54858934	1868.0	9.27978599321
846.fagna24102011soil15a4	0.0317002381286	2626.60902256	1607.0	8.85726464765
846.fagna24102011soil15c3	0.0381753194887	3124.37026239	1958.0	9.47355758141
846.fagna24102011soil14c3	0.0354324888605	2926.71760797	1822.0	9.34714249859
846.fagna24102011soil14a2	0.0376102490824	3094.6	1961.0	9.52520240948
846.fagna24102011soil14a4	0.0355959361944	2804.63961039	1803.0	9.19883247375
846.fagna24102011soil4a3	0.0352063146236	2882.38652482	1766.0	9.24727924783
846.fagna24102011soil4b2	0.0395648664659	3183.46666667	2027.0	9.58923541553
