	chao1	observed_otus	faith_pd	shannon
2192.H04a.Foot.1862.lane6.NoIndex.L006	545.1898734177215	500	50.66579813572003	7.010086402249313
1883.2008.127.Crump.Artic.LTREB.main.lane2.NoIndex	2680.2600896860986	1414	124.39194951121762	9.31401831388458
1696.VH0033A	221.0769230769231	167	21.206878115029998	5.19493062817982
1621.P8876	1245.5570469798658	838	66.37265070373978	8.160245613655063
755.SSFB.L3.D5.14.06.11.lane1.NoIndex.L001	2215.266094420601	1262	108.947143633367	8.828299920723992
550.L6S44.s.6.sequence	87.0	72	12.903771210330001	3.651625519602723
1622.UPMain.122.123B	662.2553191489362	353	44.92044299010761	5.8169566994548125
990.KA2U.B.12	2250.8870967741937	1320	108.11295761605459	8.55013515713767
755.LSSF.EPSILON.D30.22.07.11.lane1.NoIndex.L001	1355.642857142857	859	71.16068926224156	7.7621425788703835
2229.W1.N1.5.HP4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	277.0769230769231	122	16.87287901773	2.062707522427247
1883.2005.199.Crump.Artic.LTREB.main.lane4.NoIndex	3344.585714285714	1947	220.36164985647196	9.896518275043206
2192.H01a.Front.Door.Knob.269.lane2.NoIndex.L002	486.3818181818182	317	36.29879640260911	4.855554390195158
945.P2.F12.lane2.NoIndex.L002	811.439393939394	585	66.19781285658	6.69955084929561
1198.SWE03.KBA1.3.5	1750.35	980	103.14226802726729	8.401254159950502
990.KA2F.B.03	2151.563559322034	1244	108.19756233636458	8.520508317605895
755.LSSF.GAMMA.D1.23.06.11.lane1.NoIndex.L001	529.4864864864865	330	38.54350907780701	6.306038353186845
1883.2008.047.Crump.Artic.LTREB.main.lane2.NoIndex	336.4166666666667	253	30.975146890040005	6.237067674822972
550.L2S336.s.2.sequence	444.7432432432432	345	33.10616873429999	5.57069182107292
2229.W2.N12.EH2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	347.04761904761904	173	21.71237850577899	3.4439161884240055
945.P11.E8.lane3.NoIndex.L003	109.25	92	13.80382379748	3.655154759301442
1240.0505TCDNA	273.04761904761904	183	24.709992597869995	5.0425486399250685
1883.2009.034.Crump.Artic.LTREB.main.lane3.NoIndex	4103.304347826087	1765	181.84564125940634	9.121723446585682
1883.2007.525.Crump.Artic.LTREB.main.lane2.NoIndex	219.0	86	16.604721470009995	2.275884406054169
1736.O26b.0610	1158.9140625	775	64.618069369074	7.594263687567294
894.YY984.lane5.NoIndex.L005	948.0075187969925	685	70.04988095706	7.544650524027103
550.L5S135.s.5.sequence	58.2	51	9.864178611249995	3.550695636911764
1288.NSB19jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	229.05882352941177	157	20.479393760931	5.2146254777131835
550.L4S49.s.4.sequence	547.1142857142858	381	35.33763422013001	4.525974524060167
2192.H06b.Kitchen.Counter.3169.lane5.NoIndex.L005	554.5	362	34.82901932058	5.310245599831789
2229.S1.T23.PH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	293.88461538461536	190	22.38658595438	4.917367045959504
2192.H06b.Nose.3108.lane6.NoIndex.L006	281.73809523809524	241	26.66961347812699	4.625056318480786
2229.W2.T22.EH3.Thomas.CMB.Seaweed.lane5.NoIndex.L005	169.8	117	16.447033188021006	4.805664049372778
1642.MS00532	4358.013927576601	2124	179.36894806891223	10.284030961413546
1711.KFM7.2	2542.7488479262674	1725	119.95215611013059	9.78147247587227
2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences	1585.5974025974026	909	72.9979332520566	7.620640930853407
990.KA1F.E.21	2437.6245210727966	1390	106.66411683802157	8.742243052475457
1696.CT0018.1	323.9230769230769	277	31.43791734989	5.85497665570504
1197.SE.20101001.GY.LBNL1.BC.120	2090.0	1055	107.09245868025363	8.240873502136997
1453.45300SDZ4.E3.Pnem.feces	278.3333333333333	239	27.134863610629996	5.556002895175165
1622.UPMain.118.119	1399.7293577981652	1030	128.1464234365972	8.766112460271533
755.SSFA.L2.D1.21.06.11.lane1.NoIndex.L001	1522.0442477876106	1061	97.10789490298761	8.64738164346941
2382.RU006.C181.RH.2.785.gp.9.12.lane8.NoIndex.L008.sequences	12.0	7	2.79744934633	0.01882115588721887
1883.2007.445.Crump.Artic.LTREB.main.lane2.NoIndex	927.0	294	49.77025037154302	3.2501419246413654
1774.437.Skin.Puer	57.5	55	9.883462556920001	2.6731337222745952
