#Sample	Metric	NSTI
1024.DPOO1.C1.HA.4.441.bulk.4.12.G1.L00	Weighted NSTI	0.220681115192
1024.SH007.C6.RH.5.322.rhizo.9.11.G1.L00	Weighted NSTI	0.209684661641
1024.RU006.C181.RH.1.142.rhizo.6.11.G1.L00	Weighted NSTI	0.206398655265
1024.SH008.C6.HA.2.531.bulk.4.12.G1.L00	Weighted NSTI	0.201822011794
1024.RU006.C181.RH.5.157.bulk.6.11.G1.L00	Weighted NSTI	0.172871096965
1024.MU002.C3.HA.1.277.rhizo.9.11.G1.L00	Weighted NSTI	0.229686600574
1024.HE003.C181.HA.4.133.bulk.6.11.G1.L00	Weighted NSTI	0.207991564888
1024.HE003.C181.HA.2.357.rhizo.9.11.G1.L00	Weighted NSTI	0.220201830551
1024.SH005.C3.RH.1.43.root.6.11.G1.L00	Weighted NSTI	0.247108905621
1024.SH008.C6.HA.5.347.rhizo.9.11.G1.L00	Weighted NSTI	0.194454854364
1024.MU002.C3.HA.1.61.bulk.6.11.G1.L00	Weighted NSTI	0.221478079164
1024.HE003.C181.HA.1.551.bulk.4.12.G1.L00	Weighted NSTI	0.216446692249
1024.DPOO1.C1.HA.1.226.bulk.9.11.G1.L00	Weighted NSTI	0.219302075467
1024.HE003.C181.HA.4.366.bulk.9.11.G1.L00	Weighted NSTI	0.216531703723
1024.MU002.C3.HA.3.286.bulk.rhizo.9.11.G1.L00	Weighted NSTI	0.212112408002
1024.MU002.C3.HA.4.291.bulk.9.11.G1.L00	Weighted NSTI	0.218884019077
1024.RU006.C181.RH.3.150.rhizo.6.11.G1.L00	Weighted NSTI	0.200706688091
1024.HE003.C181.HA.1.352.rhizo.9.11.G1.L00	Weighted NSTI	0.227039667077
1024.SH008.C6.HA.4.114.rhizo.6.11.G1.L00	Weighted NSTI	0.198506916726
1024.HE003.C181.HA.1.351.bulk.9.11.G1.L00	Weighted NSTI	0.216180343189
1024.DPOO1.C1.HA.5.247.rhizo.9.11.G1.L00	Weighted NSTI	0.220945683051
1024.RU006.C181.RH.3.149.bulk.6.11.G1.L00	Weighted NSTI	0.191125743604
1024.SH007.C6.RH.5.99.root.6.11.G1.L00	Weighted NSTI	0.229606706826
