,num_samp,entropy
3725,22,0.574629645552
3739,14,0
3763,11,0.439469806654
3807,28,0.591658007028
3865,17,0.322745193961
3883,30,0.468995593589
3924,21,0.453693139046
3994,13,0.619370843224
4022,15,1.39957723058
4036,12,0.650010811762
4058,12,0.413808201579
4144,14,0
4455,35,0.421988807958
4534,10,0
4614,12,0
4615,14,0
4883,10,0
4918,19,0
5003,10,0.468995593589
5019,12,0
5099,15,0.353336490246
5197,14,0
5267,12,0
5281,11,0
5306,10,0
5394,18,0
5471,13,0.961235561518
5492,10,1.29546184424
5558,16,1.80503653258
5559,12,2
5769,24,1.02385666943
5830,14,2.06700354605
5896,13,2.34584231553
5897,14,1.83522207903
5938,15,1.82559238555
5967,15,0.353336490246
6002,16,0.5435644432
6006,19,1.16743167843
6022,11,0.439469806654
6203,12,0
6210,44,0.266747018774
6215,14,0
6322,12,1.78415192439
6764,15,1.73823222078
6769,75,2.43994006803
6796,12,0.413808201579
6800,10,1.57095059445
6985,15,0.353336490246
6996,11,0.439469806654
7120,21,1.92680297965
7123,14,0.946337683905
7132,26,2.32876006011
7204,13,0
7460,14,0.371203250795
7562,12,1.61398873436
7565,16,0.6685644432
7567,10,0
7569,39,0.760642887056
7595,14,0
7720,10,1.96096404744
8104,16,1.62661447181
8339,11,0
8376,10,0
8456,14,0.371203250795
8471,10,0
8518,10,0.468995593589
8629,11,0
8789,29,1.64150814519
8802,18,0
8843,11,1.49107418877
8878,15,2.01311997174
8903,15,0.353336490246
8914,13,2.03814970763
8951,12,0
8953,14,0.371203250795
8981,13,0
8993,21,2.12440615478
9010,18,2.23496170164
9013,30,2.3423510753
9015,20,1.19176014818
9020,32,2.28144629813
9064,59,2.44705937388
9112,14,0
9154,19,1.82480951784
9180,10,0
9258,21,2.57015478357
9264,22,2.0429981274
9290,10,1.57095059445
9331,25,0
9361,14,1.98519287712
9400,10,1.52192809489
9406,15,1.55889357106
9499,11,1.78991136312
9519,10,2.12192809489
9533,21,0.276158381011
9549,10,0
9562,35,0.421988807958
9582,14,0
9594,14,0
9606,10,0.468995593589
9843,11,1.78991136312
9856,12,0.918295834054
9908,11,1.49107418877
9914,10,1.68547529723
9995,12,0.413808201579
10009,11,0
10020,14,0
10028,23,0
10139,14,0
10148,13,0
10165,14,0
10170,17,0
10340,12,0
10476,35,0.421988807958
10479,14,2.27090608406
10484,20,0.468995593589
10497,10,1.57095059445
10595,14,1.80731491952
10599,15,0.566504105594
10673,10,1.15677964945
10722,14,0.371203250795
10779,19,2.14059583357
10784,10,2.16096404744
10827,16,1.84960175271
10933,10,0
10988,14,0
11152,13,0
11161,11,0
11251,10,0.468995593589
11267,10,0
11393,11,1.82305252683
11734,16,1.97460175271
11751,21,2.16326150185
11784,21,1.68461701701
12449,11,1.27755616105
12651,11,0.439469806654
12677,19,2.03739330266
12779,11,0.865810507509
12809,17,1.73944790076
12817,24,2.17763871611
12862,16,1.6737949407
12944,10,1.35677964945
12995,14,0
13143,12,1.65001468168
13269,10,1.35677964945
13392,17,2.30717223755
13401,11,1.24064789104
13565,13,2.35352741728
13746,23,2.14287006767
13767,10,1.29546184424
13790,10,0.921928094887
13834,11,0
13842,13,1.14010348612
13945,10,1.48547529723
14472,28,2.34799891806
14611,27,2.4714665663
14756,13,0.391235290502
14832,11,1.27755616105
15353,14,0.749588562605
15364,42,0.371203250795
15483,24,2.27308764486
15697,15,0.566504105594
15918,10,0.721928094887
16253,11,0
16381,11,0
16507,11,1.86762191759
16511,15,2.02255540768
16562,15,0
16650,11,2.23126054509
16771,19,0.297467859465
16850,15,0
17041,10,0
17067,16,0.5435644432
17069,16,0
17315,10,0
17345,15,0
17438,14,0
17502,13,0
17522,14,0
17533,26,0.62189079062
17573,10,0.468995593589
17577,10,0.468995593589
17579,10,0.468995593589
17594,17,0
17726,21,0
17761,12,1.95081525766
17897,22,0.574629645552
17904,18,0.309522991288
17943,13,1.61432348823
18115,13,1.35201367099
18131,15,0.353336490246
18192,34,2.43335428059
18194,52,2.18399079686
18225,10,0.921928094887
18278,11,0.439469806654
18311,10,1.35677964945
18457,13,0
18584,23,0.5586198534
18696,35,1.85245547625
18700,21,2.10468152102
18701,28,1.70689069165
18762,12,1.61398873436
18831,15,2.23888723381
18895,16,0.696212260125
18900,10,0.468995593589
18956,21,1.93870334478
19013,10,2.37095059445
19247,14,2.54948862772
19257,21,1.40119266909
19259,30,0.566504105594
19260,11,0
19270,17,0.522542274769
19274,10,0
19276,21,0
19282,15,1.5301228123
19285,35,1.84187823888
19287,14,0.734478705463
19290,12,0.816672478379
19291,75,2.44145767856
19293,22,1.85851439408
19305,107,1.85393321102
19334,20,0
19352,13,0
19373,16,1.01409765557
19384,19,2.10429298959
19429,12,0
19471,37,1.75818332398
19505,14,2.11790988164
19541,15,0
19551,10,1.37095059445
19559,12,0
19560,23,0.997596336934
19561,12,0.650010811762
