,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
c__[Methylacidiphilae](289),0.005452374828324201,0.0,0.0018318746183594546,0.0,0.0,0.009611687812379853,0.0242153040687788,0.09566596506847345,0.18684957644726913,0.3632198458488439,0.029524662690000432,0.10809496403653271,0.04063129370730685,0.005917456496665162,0.1117176015914087,0.017267392785657303,0.0,0.0,0.0,0.0
c__VHS-B5-50(11),0.0,0.0,0.0,0.018181818181818184,0.0,0.0,0.0,0.0303030303030303,0.0303030303030303,0.14964187327823691,0.39142857142857146,0.15289256198347106,0.1766233766233766,0.0,0.022314049586776862,0.028311688311688312,0.0,0.0,0.0,0.0
c__SM2F11(83),0.006024096385542169,0.0,0.006024096385542169,0.0,0.0,0.0,0.0,0.26932300631095807,0.23637980493402175,0.09820042073054122,0.014216867469879517,0.10479632816982216,0.029150889271371196,0.0,0.22980684643335245,0.00607764390896921,0.0,0.0,0.0,0.0
c__0319-6E2(100),0.045,0.015,0.0003846153846153846,0.0,0.0025,0.003956043956043956,0.029627039627039626,0.313741870661308,0.4073326495896829,0.03490632406808877,0.0,0.016856060606060607,0.010456977662860016,0.09605128205128205,0.024187136393018747,0.0,0.0,0.0,0.0,0.0
c__Chthonomonadetes(175),0.0,0.0008163265306122448,0.002857142857142857,0.005714285714285714,0.0,0.023349084249084252,0.002857142857142857,0.35721923560977337,0.3732705710688534,0.06885791406515647,0.00443922305764411,0.07542804832329657,0.0019602499925950056,0.02095238095238095,0.05633553757917498,0.005942857142857143,0.0,0.0,0.0,0.0
c__Fibrobacteria(158),0.026994173196704854,0.00016655562958027984,0.008711839166046167,0.026582278481012658,0.024894514767932495,0.00015822784810126585,0.010076942169272773,0.1338636323180941,0.1729704990778491,0.04743992525177618,0.28566275431404564,0.017671908186565086,0.1085022886655132,0.03684274586173321,0.08451057138378336,0.014951143681989786,0.0,0.0,0.0,0.0
c__Sva0725(388),0.009627552668789783,0.004581901489117983,0.0046653242885608594,0.000859106529209622,0.0,0.0298680343139106,0.002326884527271125,0.08203344035026172,0.1782826297949883,0.08597828684692106,0.2997834264955031,0.061458644416966454,0.13039372058149676,0.007254742918402712,0.03222786098871286,0.03882752413680249,0.0,0.031830919653084606,0.0,0.0
c__SBRH58(164),0.0,0.0,0.0,0.0,0.0,0.0060975609756097554,0.0030487804878048777,0.0407520325203252,0.12835365853658537,0.1642566782810685,0.25818089430894303,0.025878339140534255,0.04115853658536585,0.0,0.3003121370499419,0.031961382113821137,0.0,0.0,0.0,0.0
c__Flavobacteriia(2129),0.09387177677246991,0.006690718479959938,0.040797250865283914,0.0327467452833897,0.018704638613492284,0.11980418597629838,0.012661745450442822,0.03116225999524498,0.04209680498717241,0.036206784487648566,0.16256626944543112,0.03951869902340799,0.1252123686702651,0.03067990537145953,0.06250197799988286,0.1336357478609885,0.0,0.011142120717161997,0.0,0.0
c__Verrucomicrobiae(896),0.033788515567879956,0.004838459606987959,0.013131490199628795,0.07584671335724694,0.036648575589008955,0.17870551961710426,0.005949555109674087,0.05268914252840782,0.043841625587820766,0.06104118671781565,0.1697720420826127,0.04361083043582745,0.11727617538640232,0.028327684065703376,0.05123268631127727,0.07253356790348638,0.0,0.010766229933115436,0.0,0.0
c__WM88(21),0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7263708513708513,0.0,0.10461760461760461,0.0,0.0,0.1213924963924964,0.0,0.0,0.0,0.0
c__AT-s2-57(47),0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.021276595744680857,0.7099037487335359,0.0,0.1369807497467072,0.0,0.0243161094224924,0.05889057750759878,0.0,0.027355623100303948,0.0,0.0
c__SAW1_B6(30),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06533333333333334,0.8288888888888889,0.0,0.05,0.0,0.0013333333333333333,0.05444444444444444,0.0,0.0,0.0,0.0
c__[Brachyspirae](34),0.0,0.0,0.0,0.014705882352941173,0.014705882352941173,0.0,0.0,0.0,0.0,0.08088235294117645,0.722297368145119,0.0,0.036764705882352935,0.0,0.028913704519240843,0.06496539792387543,0.0,0.036764705882352935,0.0,0.0
c__PBS-25(285),5.752085130859937e-05,0.0,0.003778677462887989,0.0,0.0,0.005263157894736842,0.0,0.13168749345386827,0.08736983169032267,0.19893136397930583,0.19710963771277168,0.019030765669274953,0.09227807662498301,0.0,0.24425427158136107,0.02023920307917914,0.0,0.0,0.0,0.0
c__TA18(330),0.016666666666666666,0.00048562548562548557,0.0015151515151515152,0.0007582316673225765,0.00021645021645021645,0.09993637675455855,0.007725829725829726,0.07464026714026714,0.11016955266955265,0.14052282734100915,0.13903264790764788,0.16191419186873732,0.05866450216450217,0.006060606060606061,0.12220387945387948,0.04433567821067821,0.0,0.015151515151515152,0.0,0.0
c__SHA-37(21),0.0,0.0,0.023809523809523808,0.0,0.0,0.015873015873015872,0.0,0.2901875901875902,0.28964646464646465,0.12254689754689756,0.08253968253968254,0.03333333333333333,0.0,0.11111111111111109,0.030952380952380946,0.0,0.0,0.0,0.0,0.0
c__Oscillatoriophycideae(393),0.07043702692557655,0.020071489155458616,0.013728708385196934,0.0424749197649961,0.010536184200306335,0.0487575009184798,0.03724100327153762,0.0390060180136516,0.0481510078838323,0.07472655277998788,0.07238709086486365,0.14496059496059496,0.12099912012350265,0.056976484075720715,0.0635972593987861,0.10961316141491265,0.0,0.026335877862595416,0.0,0.0
