,perm,level_name,entropy
861,Real,Order,1.15707560381
863,Real,Genus,2.66541029775
864,Real,Family,2.25832016695
866,Real,Genus,2.68727695702
874,Real,Phylum,2.0123271017
875,Real,Class,1.6200253692
881,Real,Family,2.94872337076
882,Real,Order,2.67767510467
883,Real,Order,1.95137955541
886,Real,Genus,2.85000998187
887,Real,Genus,3.16569150955
888,Real,Order,2.83394975999
889,Real,Class,1.86476388454
894,Real,Phylum,3.67307518194
896,Real,Phylum,2.8604774346
898,Real,Genus,2.78166864784
899,Real,Order,3.60581377325
900,Real,Family,2.32459750192
902,Real,Phylum,2.88674272659
903,Real,Order,3.04349571985
904,Real,Class,3.43250165319
907,Real,Class,2.4573074869
908,Real,Genus,2.70576026662
909,Real,Family,3.01692482543
916,Real,Genus,2.99260210243
918,Real,Genus,2.76785383914
919,Real,Class,2.36595595632
920,Real,Order,2.71838082932
922,Real,Class,2.8881517707
925,Real,Genus,3.3965392662
927,Real,Phylum,1.7912065172
928,Real,Species,2.03001002271
933,Real,Genus,2.4012583711
934,Real,Order,2.09277872202
935,Real,Species,3.16942131897
940,Real,Order,1.42298937364
943,Real,Family,2.93269758449
944,Real,Species,2.3289703803
945,Real,Family,3.20700611874
946,Real,Family,3.06273132226
947,Real,Genus,2.90722305352
948,Real,Family,3.67540916252
954,Real,Genus,1.0989123677
959,Real,Family,3.08247098778
961,Real,Genus,3.09750892539
963,Real,Order,2.87629089679
972,Real,Order,2.62063502285
978,Real,Family,2.40115998428
981,Real,Genus,1.97961583352
986,Real,Species,2.49074072402
989,Real,Family,2.66190888456
990,Real,Genus,3.42007880874
994,Real,Family,3.38430031851
995,Real,Order,2.88990069106
996,Real,Family,2.87462181652
997,Real,Genus,2.33719026434
999,Real,Phylum,3.44549079767
1004,Real,Family,2.46219007673
1006,Real,Order,2.29792232239
1008,Real,Order,3.50496175423
1009,Real,Class,1.76678144518
1011,Real,Order,2.62924674376
1012,Real,Genus,3.23511809631
1015,Real,Family,3.15048664552
1017,Real,Family,2.85373140216
1018,Real,Class,2.97797616203
1019,Real,Family,2.87254125332
1022,Real,Order,3.50334601826
1031,Real,Family,2.8660599416
1032,Real,Order,3.39676078008
1033,Real,Order,3.10450027572
1035,Real,Genus,1.92729308766
1036,Real,Family,2.83189720084
1039,Real,Order,2.73870090687
1040,Real,Order,2.52593027085
1041,Real,Class,3.26988812857
1043,Real,Phylum,1.79180750878
1045,Real,Class,2.79405124821
1046,Real,Family,2.54768829265
1049,Real,Order,3.31925138389
1050,Real,Order,3.17572077599
1057,Real,Family,3.46643599931
1059,Real,Phylum,2.37580985989
1062,Real,Family,3.14357888532
1063,Real,Class,2.48104259463
1064,Real,Order,2.34819627651
1065,Real,Genus,2.08335346537
1066,Real,Family,2.95005476734
1067,Real,Family,1.52239499592
1069,Real,Family,1.8744506972
1076,Real,Order,1.0989123677
1077,Real,Order,2.38281151013
1080,Real,Genus,3.17692084335
1082,Real,Order,3.18345402844
1088,Real,Family,2.65023670764
1089,Real,Genus,2.18304789152
1090,Real,Family,3.21946848948
1091,Real,Genus,3.03638303141
1092,Real,Family,2.62150915224
1093,Real,Order,2.9216972259
1094,Real,Family,3.27242653238
1096,Real,Family,2.83394975999
1098,Real,Order,2.30288080327
1100,Real,Class,1.79681702777
1101,Real,Order,3.65302934351
1102,Real,Family,2.64858303522
1106,Real,Family,3.23907551567
1109,Real,Order,2.38274102506
1114,Real,Genus,2.43966242859
1116,Real,Class,3.42141265435
1117,Real,Class,2.73992219868
1123,Real,Family,2.65231089364
1124,Real,Order,3.39203746062
1126,Real,Order,3.13886322517
1134,Real,Order,3.30707964585
1135,Real,Genus,2.58323971919
1138,Real,Order,1.2404449148
1140,Real,Family,2.63627968982
1142,Real,Family,2.63939514646
1143,Real,Genus,1.47578043545
1144,Real,Species,2.59784243348
1146,Real,Genus,3.56177077414
1150,Real,Family,2.59117633614
1156,Real,Phylum,2.36366882576
1159,Real,Phylum,3.51092676459
1161,Real,Family,2.85325860208
1167,Real,Order,1.6291686723
1171,Real,Family,3.31557423086
1180,Real,Genus,2.67706482975
1185,Real,Phylum,2.26087142477
1189,Real,Family,3.29847514057
1190,Real,Family,3.26484570619
1191,Real,Class,1.72780860403
1197,Real,Genus,3.14392033153
1200,Real,Family,1.81269648044
1201,Real,Order,1.97888315892
1205,Real,Genus,3.07283971245
1209,Real,Genus,3.2295437544
1211,Real,Order,1.39030885668
1213,Real,Genus,2.33583470744
1216,Real,Family,2.67075591763
1219,Real,Genus,2.80904574257
1225,Real,Class,3.40532326391
1228,Real,Order,3.11949358978
1230,Real,Family,2.62063502285
1231,Real,Order,2.53451251087
1233,Real,Family,2.46935073111
1234,Real,Genus,2.05942146528
1235,Real,Genus,2.63664377987
1238,Real,Genus,2.50323899165
1239,Real,Genus,2.1709488493
1250,Real,Family,2.34725789761
1251,Real,Phylum,3.15833229699
1253,Real,Order,2.88531556429
1256,Real,Phylum,2.98797050356
1257,Real,Order,3.58284003482
1258,Real,Family,2.17468219473
1259,Real,Order,3.01296128137
1263,Real,Genus,1.5383341028
1265,Real,Order,2.03544710127
1266,Real,Order,2.90153430177
1274,Real,Family,3.23858480928
1277,Real,Species,2.63899992377
1278,Real,Class,3.15385531197
1280,Real,Order,2.60055065923
1281,Real,Family,3.65544868488
1282,Real,Class,2.26076424912
1283,Real,Genus,2.7889379437
1286,Real,Family,2.16705218428
1290,Real,Genus,2.44669946316
1292,Real,Family,2.62684672336
1295,Real,Family,1.42303868854
1297,Real,Genus,2.65314107133
1299,Real,Genus,1.96647516981
1304,Real,Genus,2.87800639151
1306,Real,Genus,3.14911120472
1307,Real,Species,1.96647516981
1318,Real,Genus,2.64117813132
1319,Real,Genus,3.12093150071
1321,Real,Genus,2.38576534641
1322,Real,Order,2.60010718289
1328,Real,Family,0.272063706979
1329,Real,Family,2.95420363751
1331,Real,Genus,2.52483273341
1333,Real,Order,2.33807977748
1336,Real,Class,2.7950451337
1343,Real,Genus,2.41606592442
1347,Real,Genus,1.33351249416
1351,Real,Order,2.94721823145
1355,Real,Class,3.12257321719
1357,Real,Genus,2.17383002783
1364,Real,Family,2.62408139275
1369,Real,Order,2.95935814761
1371,Real,Order,2.3603977402
1372,Real,Family,3.0812889198
1382,Real,Order,1.84398630104
1385,Real,Genus,2.07736145406
1391,Real,Class,3.32435302783
1392,Real,Family,3.68078654156
1394,Real,Family,1.87744419214
1395,Real,Order,2.50164154497
1402,Real,Order,1.70473333799
1403,Real,Order,2.8784369735
1405,Real,Genus,2.44857796333
1412,Real,Class,1.85018858808
1413,Real,Family,3.24307741289
1416,Real,Family,1.56185044901
1420,Real,Genus,2.54370217024
1421,Real,Family,2.99992213079
1426,Real,Order,3.77190924938
1428,Real,Class,2.94270455158
1435,Real,Phylum,1.96051457945
1440,Real,Class,2.57689293924
1442,Real,Order,2.09745567037
1443,Real,Family,3.0920305131
1444,Real,Class,2.98418011765
1448,Real,Family,2.91408988078
1451,Real,Order,3.75067543495
1453,Real,Family,3.21488312863
1468,Real,Phylum,1.30659523889
1469,Real,Order,1.56593776318
1473,Real,Family,3.26823686133
1475,Real,Order,2.03683704653
1476,Real,Family,3.43059857533
1478,Real,Genus,3.4568993543
1479,Real,Class,2.7418346839
1480,Real,Genus,3.60801348276
1483,Real,Order,1.98864946549
1484,Real,Genus,2.55196163907
1485,Real,Genus,3.18081435421
1486,Real,Class,2.73433032511
1489,Real,Class,2.42212418871
1492,Real,Family,3.53061875974
1493,Real,Family,2.77329845958
1494,Real,Order,1.78169806839
1498,Real,Genus,2.76089769876
1500,Real,Class,2.87718351838
1501,Real,Order,1.38723564626
1503,Real,Order,3.1387928814
1505,Real,Class,2.34003023014
1507,Real,Class,1.0989123677
1508,Real,Family,3.49958246881
1509,Real,Order,2.95977929326
1511,Real,Order,3.17428644385
1513,Real,Order,3.23585600021
1514,Real,Class,2.86262670171
1515,Real,Order,2.16799002028
1518,Real,Phylum,1.44544498614
1520,Real,Genus,2.75589392261
1522,Real,Genus,2.61546299845
1523,Real,Family,3.26572913133
1524,Real,Genus,2.78022889815
1525,Real,Genus,2.43144817014
1526,Real,Order,2.39533838418
1530,Real,Class,2.35263625598
1531,Real,Genus,0.997413334556
1532,Real,Genus,3.07243026156
1534,Real,Order,2.96560843861
1537,Real,Family,2.88854744338
1547,Real,Genus,2.25803337066
1550,Real,Genus,2.47702232965
1551,Real,Family,3.48168946842
1555,Real,Genus,2.40696272064
1557,Real,Species,2.79619892056
1559,Real,Family,2.88732062449
1562,Real,Order,3.38562515695
1563,Real,Class,2.07665257416
1566,Real,Order,2.34298406047
1573,Real,Family,3.41195584984
1574,Real,Class,2.53451251087
1575,Real,Order,2.41304041765
1576,Real,Family,2.73695463053
1577,Real,Family,1.17628347258
1579,Real,Class,3.34079388108
1580,Real,Family,3.03535367748
1582,Real,Genus,3.47283423514
1584,Real,Genus,1.82697454744
1587,Real,Genus,1.80209758073
1589,Real,Family,3.24478059297
1590,Real,Genus,0.401760535886
1592,Real,Family,1.73314781617
1595,Real,Genus,3.11714067624
1601,Real,Genus,2.54341037558
1602,Real,Family,1.971591778
1603,Real,Family,2.11855705339
1606,Real,Family,3.60581377325
1609,Real,Class,2.91086260294
1612,Real,Order,1.78147597042
1614,Real,Family,2.53154747558
1615,Real,Family,1.31803040686
1623,Real,Family,3.44606470884
1624,Real,Family,2.59871760307
1626,Real,Order,3.23858480928
1628,Real,Genus,2.71410933128
1631,Real,Phylum,2.4071969751
1632,Real,Class,2.29230833864
1634,Real,Family,2.0404226738
1651,Real,Class,3.31369440544
1653,Real,Order,2.37842183901
1655,Real,Order,2.26397372452
1657,Real,Genus,3.16156875866
1658,Real,Order,3.09377500085
1659,Real,Family,2.97363970991
1660,Real,Genus,3.7799733545
1661,Real,Genus,1.96348912445
1664,Real,Order,3.18127268866
1665,Real,Class,1.01378991548
1667,Real,Genus,3.21954204204
1669,Real,Family,1.28328013438
1670,Real,Order,2.18800040742
1671,Real,Order,2.68136566328
1679,Real,Order,2.50116278157
1680,Real,Genus,2.52576031862
1688,Real,Genus,3.44606470884
1689,Real,Phylum,2.45391164382
1690,Real,Genus,3.00021623982
1691,Real,Phylum,2.02652488168
1692,Real,Family,2.93728217928
1705,Real,Class,1.25420025317
1707,Real,Order,2.58789124297
1709,Real,Class,2.27309115839
1711,Real,Family,0.302515221941
1712,Real,Genus,2.48640324446
1716,Real,Family,2.5341652077
1718,Real,Order,2.0857676808
1719,Real,Family,3.29303113895
1721,Real,Genus,2.75914703712
1722,Real,Genus,2.39843476824
1725,Real,Family,1.98864946549
1732,Real,Family,3.07764194589
1734,Real,Family,2.8335198322
1735,Real,Phylum,1.7185116228
1737,Real,Order,3.05970508483
1740,Real,Order,1.39783566
1753,Real,Order,3.16504124974
1755,Real,Genus,3.23999438975
1756,Real,Class,2.89337224418
1759,Real,Genus,2.58343468144
1761,Real,Genus,2.73302392953
1764,Real,Class,3.36197882937
1766,Real,Class,2.07977351073
1767,Real,Family,2.87897514208
1769,Real,Phylum,2.99894974229
1770,Real,Family,3.25982411393
1772,Real,Genus,2.47927068089
1774,Real,Class,2.75905930949
1775,Real,Family,1.91707366
1779,Real,Family,2.35922585961
1780,Real,Genus,3.17142628427
1793,Real,Class,1.51327869962
1795,Real,Genus,2.40274189066
1796,Real,Family,2.76324980563
1797,Real,Order,2.42382452317
1801,Real,Family,1.34165113823
1802,Real,Order,2.62746697808
1803,Real,Genus,2.3270099248
1806,Real,Order,1.5699824552
1809,Real,Class,3.1842339265
1812,Real,Family,2.93326772966
1814,Real,Order,2.47337766021
1815,Real,Genus,3.21698226596
1818,Real,Order,2.25832016695
1819,Real,Genus,3.18997320246
1830,Real,Phylum,3.06923390365
1832,Real,Class,2.46440782454
1835,Real,Genus,2.25366377972
1847,Real,Order,2.55215699733
1851,Real,Family,2.25117747139
1852,Real,Genus,1.72823693048
1853,Real,Phylum,2.49781670903
1857,Real,Genus,3.62233397985
1860,Real,Order,3.10473903084
1861,Real,Family,2.11373085658
1863,Real,Species,2.68565675421
1864,Real,Phylum,1.46821983656
1865,Real,Class,2.6507038809
1866,Real,Order,2.95898456924
1872,Real,Class,2.60010718289
1874,Real,Family,3.26828536958
1875,Real,Family,2.39869603735
1876,Real,Genus,3.07647106502
1878,Real,Class,2.17257634304
1883,Real,Family,3.44150287486
1884,Real,Family,2.78528705087
1886,Real,Family,3.25302880752
1888,Real,Class,2.87248528539
1892,Real,Order,3.17186263633
1898,Real,Family,2.80799050938
1900,Real,Family,2.72241323205
1909,Real,Class,3.60581377325
1910,Real,Family,3.19758314221
1911,Real,Genus,2.49415540359
1915,Real,Family,3.25662315833
1917,Real,Class,2.20000130064
1922,Real,Order,2.12020015963
1925,Real,Family,3.35950205054
1926,Real,Family,3.62608050512
1927,Real,Order,3.54161065314
1929,Real,Class,2.77387827867
1934,Real,Species,1.69825587664
1936,Real,Genus,3.54898544216
1940,Real,Family,2.9662885971
1942,Real,Family,3.27454184625
1943,Real,Family,2.0091377091
1948,Real,Family,1.70702401115
1949,Real,Class,1.97766353242
1953,Real,Order,1.72780860403
1954,Real,Genus,2.52750123917
1960,Real,Genus,3.10779426444
1962,Real,Family,0.247490932753
1963,Real,Genus,2.5501847348
1964,Real,Genus,1.79312426466
1973,Real,Genus,2.80944683433
1974,Real,Family,2.78069518947
1975,Real,Genus,2.89333350506
1976,Real,Family,3.2755027798
1977,Real,Family,2.67247538588
1981,Real,Order,1.04009512811
1983,Real,Genus,0.432288212993
1987,Real,Family,1.97597815821
1992,Real,Class,1.63358701083
1993,Real,Class,2.34423430671
1994,Real,Order,1.71376055036
1999,Real,Class,3.28476064425
2001,Real,Family,3.73465275604
2002,Real,Class,3.17405773732
2003,Real,Class,3.55562029328
2007,Real,Genus,2.75016027034
2009,Real,Family,1.38314842515
2011,Real,Family,3.10569102425
2012,Real,Order,3.54290940093
2013,Real,Order,1.7912065172
2017,Real,Order,2.23715733037
2019,Real,Class,3.5316754943
2020,Real,Genus,2.29172156134
2024,Real,Order,2.77986452041
2026,Real,Family,2.75197980291
2027,Real,Order,1.66849667453
2029,Real,Family,2.94471814891
2037,Real,Genus,2.25321581177
2038,Real,Species,3.3965392662
2039,Real,Genus,3.00031837336
2043,Real,Class,2.48989180533
2044,Real,Genus,2.94746639691
2045,Real,Family,1.53245482592
2049,Real,Class,3.03619440006
2051,Real,Order,1.32089046988
2053,Real,Family,3.65212446178
2054,Real,Class,3.1124568275
2056,Real,Species,3.36100201833
2065,Real,Family,2.95977929326
2066,Real,Family,3.48128962837
2072,Real,Order,1.8737560489
2074,Real,Order,0.576804597933
2076,Real,Order,1.40939121531
2081,Real,Family,2.01906799926
2082,Real,Genus,2.66483432644
2083,Real,Phylum,2.84611787032
2084,Real,Class,0.537149846474
2085,Real,Order,1.68075715009
2087,Real,Class,3.6529326464
2088,Real,Class,3.06357165858
2090,Real,Genus,3.12939093855
2092,Real,Family,2.71650118878
2093,Real,Order,2.14906261103
2095,Real,Class,2.15294818054
2099,Real,Class,2.76617122116
2100,Real,Family,0.613962457842
2105,Real,Class,3.16504124974
2108,Real,Phylum,2.6422756862
2110,Real,Genus,2.96595167754
2113,Real,Order,2.46645800848
2116,Real,Family,2.57874235955
2119,Real,Order,2.07158496456
2122,Real,Genus,3.24862339836
2123,Real,Order,2.28802794626
2128,Real,Family,2.37973372526
2135,Real,Order,2.81378195412
2140,Real,Genus,3.23386304303
2141,Real,Genus,2.9555550868
2142,Real,Class,2.28096176419
2150,Real,Order,3.30126994217
2152,Real,Genus,1.9006353891
2153,Real,Class,2.83394975999
2154,Real,Class,2.38050633829
2155,Real,Order,2.58217876431
2162,Real,Family,3.02863387995
2163,Real,Order,2.79668040335
2164,Real,Family,2.7792977859
2169,Real,Class,1.77551874103
2174,Real,Family,2.85046577729
2177,Real,Genus,3.17136282644
2178,Real,Genus,2.6495415929
2184,Real,Genus,2.84621302317
2188,Real,Genus,2.60841888847
2189,Real,Family,3.23806027086
2192,Real,Order,3.27800696926
2193,Real,Class,2.50033180291
2194,Real,Order,3.71155944982
2198,Real,Family,2.41373010493
2201,Real,Order,1.94824974976
2202,Real,Family,2.59531330015
2203,Real,Family,3.25617141307
2209,Real,Family,2.87688616818
2210,Real,Order,2.64584629495
2212,Real,Family,3.38466761815
2214,Real,Family,2.50226417377
2215,Real,Order,2.84081661858
2216,Real,Class,2.37782620261
2219,Real,Family,2.44441226067
2220,Real,Order,2.86650613607
2223,Real,Family,2.31050493136
2232,Real,Order,2.71480956908
2238,Real,Order,3.11032256824
2240,Real,Genus,2.54521276482
2249,Real,Genus,3.14833853324
2251,Real,Phylum,3.33644799918
2252,Real,Class,2.5974808365
2257,Real,Genus,1.31175042952
2258,Real,Order,2.49441636301
2262,Real,Order,2.56461857702
2263,Real,Family,3.60087046924
2270,Real,Genus,2.67605853144
2276,Real,Genus,2.5692574971
2283,Real,Class,2.5195215421
2294,Real,Order,1.77318082819
2297,Real,Order,2.7433305489
2299,Real,Family,3.27481955732
2300,Real,Genus,2.29405478873
2308,Real,Class,3.33781120488
2309,Real,Family,1.0989123677
2313,Real,Genus,2.48785161973
2319,Real,Class,2.80198707844
2321,Real,Genus,0.999657688021
2323,Real,Class,3.24422124957
2328,Real,Genus,2.43793679206
2329,Real,Genus,2.03395072825
2330,Real,Genus,2.46927084785
2331,Real,Family,1.34208103615
2334,Real,Family,2.58390498967
2335,Real,Class,3.06565677646
2337,Real,Family,2.03544710127
2339,Real,Family,2.44456358148
2341,Real,Family,3.54094424951
2342,Real,Family,1.74810594878
