	observed_species
Soil.NIL.100.N.14.3.479602	3293
T.2.1.H.P.4.479864	1762
Lb226.479843	2231
T.3.3.H.P.5.479725	1493
BbB.479803	2350
Phylospora.comosa.4.1.479674	1532
T.3.2.H.P.3.479720	1291
T.2.3.H.P.3.479831	1811
W.3.2.H.E.1.479925	2643
N.3.1.S.E.4.479877	2084
W.1.1.S.E.3.479606	2071
N.2.3.S.E.3.479749	3387
N.1.2.S.E.1.479658	2752
W.3.2.S.E.2.479939	2175
N.3.2.S.E.2.479627	2117
LbF.479932	2674
W.3.2.H.E.2.479868	2278
N.2.1.H.E.5.479636	1270
BbA.479896	2166
T.1.1.S.E.1.479873	1826
Lu225.479575	1855
BuI.479604	2141
W.2.3.H.E.4.479937	1943
N.1.1.S.E.1.479629	2079
LuD.479567	2763
T.1.2.S.E.3.479668	1512
W.1.3.S.E.4.479895	1418
N.1.3.H.E.3.479754	1413
N.2.3.S.E.5.479830	2342
T.1.1.S.E.2.479714	1300
T.1.2.H.E.3.479835	1141
N.1.1.H.E.1.479708	1696
T.2.3.H.E.3.479745	2033
T.1.2.S.E.2.479595	1762
N.1.1.H.E.5.479654	1232
T.2.1.H.E.2.479651	1486
Bu176.479788	2193
T.1.2.S.E.4.479778	1605
N.3.3.S.E.2.479753	1293
T.3.3.H.E.4.479710	1222
T.2.3.H.P.1.479692	1610
T.3.3.H.P.4.479818	1244
T.1.1.S.E.5.479625	1390
W.1.2.H.E.1.479707	1404
T.3.3.H.P.3.479863	1422
T.3.3.H.P.2.479739	1344
W.2.2.S.E.1.479620	1049
T.3.3.H.E.1.479888	1254
T.1.1.H.E.3.479893	1619
T.1.1.H.E.5.479673	1120
BbD.479792	2042
T.1.2.H.E.4.479709	1246
T.3.2.S.E.2.479773	1897
T.2.3.H.E.1.479905	1844
T.1.3.S.E.5.479738	1448
T.2.1.H.P.5.479702	1216
T.1.3.H.E.1.479761	1128
W.2.2.H.E.5.479609	2287
W.3.2.S.E.4.479926	2268
N.2.3.S.E.4.479650	2216
T.3.3.H.E.2.479875	1266
W.3.2.H.E.3.479612	2833
T.1.1.S.E.4.479628	1751
N.2.3.H.P.5.479836	1593
N.1.3.H.E.5.479922	1579
T.1.3.H.E.5.479729	1653
N.2.3.H.E.2.479697	2297
T.1.2.H.E.1.479630	1157
W.3.1.H.E.4.479793	2001
T.3.3.H.P.1.479626	1612
T.1.2.H.E.2.479913	1357
W.2.1.H.E.2.479741	1087
T.2.1.H.E.4.479833	1123
T.1.3.S.E.3.479822	1549
T.2.1.H.E.3.479786	1378
T.1.1.H.E.2.479849	2014
N.2.3.H.E.5.479846	1812
N.3.2.H.E.4.479731	838
T.2.2.H.E.1.479568	1506
T.1.3.H.E.4.479934	1198
T.3.2.H.P.1.479665	1364
T.3.2.H.P.5.479744	1359
W.2.1.S.E.2.479565	1415
W.3.1.S.E.1.479801	2426
T.3.2.S.E.4.479931	1960
T.2.2.H.P.3.479579	1722
N.3.3.H.E.1.479721	830
N.1.3.H.E.2.479936	1891
W.2.1.H.E.3.479804	1329
T.1.2.S.E.5.479564	1774
T.3.3.S.E.1.479659	1890
T.2.1.H.P.2.479653	1446
N.3.3.S.E.1.479780	1610
T.3.3.H.E.5.479787	1252
T.2.3.H.E.5.479862	1532
W.1.1.H.E.5.479736	1133
W.3.2.H.E.5.479713	2297
W.2.2.S.E.3.479613	1496
W.2.2.S.E.4.479675	1591
T.3.3.H.E.3.479909	1402
Lu229.479884	1148
W.3.1.H.E.1.479737	1949
W.2.1.S.E.1.479904	1527
T.2.1.H.E.1.479767	1404
N.2.2.H.E.3.479592	1575
T.2.2.H.P.5.479915	1827
T.1.3.S.E.2.479775	1555
N.2.3.H.E.4.479684	2217
N.2.1.H.E.3.479678	1158
N.3.1.H.E.2.479614	844
N.3.1.S.E.3.479805	1268
N.2.2.H.E.4.479671	1127
N.2.3.H.E.1.479826	950
T.2.3.H.E.4.479900	2077
