,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
o__SHA-124(32),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1652058374025286,0.04444347840487547,0.43041621286106585,0.152117551566081,0.0,0.0,0.0,0.17472868447133155,0.033088235294117654,0.0,0.0,0.0,0.0
o__PK329(155),0.000485249517507582,0.0,0.0,0.0,0.0,0.0,0.0,0.20011969794331677,0.050993251947815246,0.4669387638347753,0.08313386923765846,0.054337842265261616,0.0032314686799344546,0.0,0.09663857199703806,0.042830961996047384,0.0,0.0012903225806451613,0.0,0.0
o__C20(74),0.0004095004095004095,0.0,0.0,0.0,0.0,0.0,0.0,0.20109203101100137,0.04979110720308064,0.5632514597120353,0.05052841302841303,0.015116077616077616,0.029542042042042038,0.0,0.08618169264441063,0.004087676333439045,0.0,0.0,0.0,0.0
o__GAB-B06(40),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.09205808080808081,0.5844065656565657,0.061111111111111116,0.0,0.00625,0.0020833333333333333,0.05909090909090908,0.0,0.0,0.0,0.0,0.0
o__Ellin6513(299),0.030270385499583167,0.0037256191102344937,0.00317789913340975,0.0003772472737989979,0.00015518901388466603,0.011768262071598774,0.0007910854610218341,0.09957123310602903,0.4705726386233002,0.12697208535745194,0.08318443850495189,0.022127123782135036,0.001672240802675585,0.022046089393235626,0.04182765336352805,0.08176080950316084,0.0,0.0,0.0,0.0
o__agg27(289),0.004871901065672691,0.0,0.0034602076124567466,0.0012473834849844074,8.543722499893202e-05,0.058618480071767266,0.001153402537485582,0.08644793934119781,0.15950823636755257,0.23645029474159412,0.23449914888084666,0.0185519905191648,0.08883605423047869,0.007013934349574487,0.038068200927927384,0.05080676580692749,0.0,0.01038062283737024,0.0,0.0
o__envOPS12(102),0.010129821159232924,0.0,0.014923747276688454,0.0,0.0,9.16254352208173e-05,0.0013473225547528955,0.2637244633917761,0.11516092529274351,0.3392454078002112,0.12735931081504379,0.004648175472546624,0.022082191420277328,0.010784313725490198,0.05453760892788839,0.0359650867281278,0.0,0.0,0.0,0.0
o__TG3-1(168),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29815921005841245,0.06041859606403656,0.36363024376417236,0.1301752645502646,0.0,0.04087301587301588,0.005952380952380954,0.050111016628873774,0.02091836734693878,0.0,0.029761904761904767,0.0,0.0
o__MVP-88(97),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3675821932583423,0.13402655114487466,0.3128182375495383,0.013745704467353953,0.026632302405498284,0.003748828491096533,0.0,0.1414461826832961,0.0,0.0,0.0,0.0,0.0
o__pLW-97(58),0.0,0.0,0.00022104332449160026,0.0,0.0,0.0,0.0,0.44752079726289024,0.0956268287194212,0.344549447059589,0.0009578544061302678,0.0057471264367816065,0.007170224411603718,0.0,0.09820667837909214,0.0,0.0,0.0,0.0,0.0
o__Methanocellales(16),0.0,0.0,0.0,0.001329787234042553,0.0,0.0,0.0,0.466770875954719,0.027487345323116592,0.33284619026806517,0.0028409090909090906,0.0014204545454545453,0.0028409090909090906,0.0012019230769230768,0.08759469696969695,0.07566690844616375,0.0,0.0,0.0,0.0
o__SJA-36(69),0.01547849557002875,0.0,0.0,0.0,0.0,0.014663256606990619,0.0,0.3003492613139998,0.17923855493969948,0.3675055889127976,0.03687496302922335,0.041226245823095996,0.004334480374324228,0.0,0.029678572127084708,0.010650581302755213,0.0,0.0,0.0,0.0
o__MVS-40(69),0.0,0.0,0.014492753623188403,0.0,0.0,0.0,0.0,0.22789608605458767,0.19686867396078572,0.4035206487387828,0.04612044991414129,0.0036231884057971006,0.019323671497584537,0.0,0.07891591349405426,0.009238614311078077,0.0,0.0,0.0,0.0
o__A89(133),0.0010741138560687433,0.0,0.0,0.0,0.0,0.0,0.0,0.27062074349253684,0.12991479111312176,0.42974610177769884,0.043652351826481556,0.003084634663582032,0.0018424036281179139,0.002506265664160401,0.0981350350809888,0.019423558897243107,0.0,0.0,0.0,0.0
o__SHUX583(23),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41884057971014493,0.004347826086956522,0.44202898550724634,0.043478260869565216,0.0,0.0,0.0,0.004347826086956522,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0
