,max.tip.tip.dist,entropy,perm
16338,0.38396256312,1.94773723833,Real
16356,0.38396256312,1.93734884502,Real
16386,0.38396256312,1.94324982388,Real
16405,0.38396256312,1.94846850358,Real
16428,0.38396256312,1.93849592129,Real
16437,0.38396256312,1.92861167593,Real
16457,0.38396256312,1.94410893782,Real
16486,0.38396256312,1.93437330012,Real
16505,0.38396256312,1.93936343804,Real
16515,0.38396256312,1.92985904916,Real
16544,0.38396256312,1.92043543325,Real
16555,0.38396256312,1.91109240501,Real
16575,0.38396256312,1.91869260095,Real
16593,0.38396256312,1.9528911575,Real
16625,0.38396256312,1.9813909788,Real
16644,0.38396256312,1.99495202286,Real
16667,0.38396256312,2.00725388834,Real
16674,0.38396256312,1.99803192978,Real
16706,0.38396256312,1.98888285573,Real
16715,0.38396256312,1.97980655152,Real
16736,0.38396256312,1.97080285256,Real
16763,0.38396256312,1.97172081234,Real
16783,0.38396256312,1.96286127576,Real
16796,0.38396256312,1.96787589882,Real
16815,0.38396256312,1.9876759217,Real
16845,0.38396256312,1.97899780865,Real
16866,0.38396256312,1.98352888362,Real
16876,0.38396256312,1.97502738954,Real
16906,0.38396256312,1.98512223359,Real
16925,0.38396256312,1.98928003522,Real
16939,0.38396256312,2.006780148,Real
17345,0.164666155,2.10585857978,Real
17365,0.164666155,2.06924126449,Real
17387,0.164666155,2.0626355891,Real
17396,0.175478832,2.07001386671,Real
17426,0.17557401,2.03644386727,Real
17435,0.17557401,2.05582114058,Real
17464,0.17557401,2.02450924851,Real
17484,0.17557401,2.06632819429,Real
17509,0.17557401,2.06123025855,Real
17524,0.17557401,2.07411578254,Real
175414,0.17557401,2.07943629786,Real
17553,0.17557401,2.09494007301,Real
17573,0.178579981,2.0898780452,Real
17605,0.178579981,2.07669880443,Real
17618,0.178579981,2.12461690959,Real
17638,0.178579981,2.10483660464,Real
17656,0.255644618,2.10026549647,Real
17685,0.290022288,2.08147249377,Real
17705,0.290022288,2.07593873345,Real
17715,0.290022288,2.0792178659,Real
17745,0.290022288,2.07253270379,Real
17755,0.290022288,2.13261321849,Real
17785,0.290022288,2.13179889301,Real
17795,0.290022288,2.24157229015,Real
17825,0.290022288,2.25681358529,Real
18225,0.1061893,2.6114856466,Real
18235,0.1061893,2.58375771523,Real
18255,0.1061893,2.54191805791,Real
18286,0.1061893,2.53876485905,Real
18304,0.1061893,2.49936633184,Real
18316,0.14445648,2.55081579133,Real
18337,0.16968597,2.55941344881,Real
18368,0.16968597,2.63915923825,Real
18374,0.18325665,2.63207759411,Real
18406,0.18325665,2.65136072883,Real
18427,0.18402075,2.65760877913,Real
18436,0.290022288,2.24127568382,Real
18447,0.18402075,2.65488152606,Real
18466,0.2968664561,2.59071450715,Real
18486,0.2968664561,2.58068429426,Real
18509,0.2968664561,2.5776509849,Real
18514,0.2968664561,2.56768819955,Real
18533,0.2968664561,2.56420808685,Real
