,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
f__Gemmatimonadaceae(30),0.1162349602859784,0.0012983835736129312,0.02804464995402565,0.001515151515151515,0.0,0.0047619047619047615,0.008288494380237498,0.0638840147679867,0.19335117729700016,0.11638388102449018,0.07223520923520924,0.1961900814399728,0.022849083166156334,0.023687618871105105,0.14495792940970834,0.006317460317460316,0.0,0.0,0.0,0.0
f__PRR-10(283),0.0009483869655500142,0.0,0.0005047955577990913,0.0,0.0,0.020283702538569294,0.0,0.16434081040551568,0.3555525502951814,0.29129165697305875,0.03014040676818872,0.057682838248176806,0.012423574726182255,0.0019227181470621807,0.05305585824113341,0.011617129873276025,0.0,0.00023557126030624258,0.0,0.0
f__UD5(17),0.0,0.0,0.0,0.0,0.0,0.0004861448711716092,0.0,0.20146367735232154,0.34680684865098205,0.33257015737748674,0.0,0.0433392365210547,0.0032872653193508805,0.07058823529411765,0.0014584346135148275,0.0,0.0,0.0,0.0,0.0
f__Actinosynnemataceae(20),0.037777777777777785,0.0,0.0026315789473684214,0.025000000000000005,0.0,0.0027777777777777783,0.06111111111111113,0.23170151168434922,0.40313194877840197,0.027777777777777783,0.00495169082125604,0.037173913043478266,0.0,0.1604093567251462,0.0,0.005555555555555557,0.0,0.0,0.0,0.0
f__EB1017(160),0.004799174609792647,6.944444444444446e-05,0.0076738740018651285,0.020927192138447452,0.0010617760617760619,0.010915286614644021,0.02050796840372801,0.1564916198016212,0.29023895047020215,0.14108709029739744,0.021267349981557836,0.1903955163273272,0.011027601946933344,0.026099781359442575,0.08916034340509486,0.00827703013572579,0.0,0.0,0.0,0.0
f__Armatimonadaceae(108),0.08036047536826657,0.0030864197530864196,0.002859477124183007,0.0,0.0005446623093681917,0.00013041210224308815,0.008085209392398936,0.12544640745470886,0.32887469944697045,0.07676247181621809,0.009879119251402333,0.22121640162756256,0.007920683681420945,0.029581811858807167,0.10331005751329954,0.0019416913000637568,0.0,0.0,0.0,0.0
f__Rhodocyclaceae(104),0.06723243927965751,0.005622192240980494,0.010498721885565138,0.051892078568294524,0.0018739313702321463,0.0025328645854087012,0.007316580422974907,0.1417334939458209,0.144737877410838,0.12743555710219934,0.07566280408909917,0.1049277118940899,0.03477191919673358,0.05988472724617289,0.1157441015946762,0.04813299916725667,0.0,0.0,0.0,0.0
f__Micromonosporaceae(284),0.030776168915421995,0.0,0.019217529431148565,0.010422443146498504,0.015495047166383226,0.0,0.023598299047788658,0.25560157019570506,0.40669169843912306,0.013894254662830932,0.0016165225542480704,0.10612784704451692,0.00919781011306988,0.07915522742100148,0.02399334032795147,0.004212241534312255,0.0,0.0,0.0,0.0
f__Chthonomonadaceae(70),0.0,0.002040816326530612,0.0,0.0,0.0,0.015875,0.007142857142857143,0.2811993105124321,0.4482706119371776,0.024185386617990304,0.005960213032581453,0.13672358459512837,0.002040816326530612,0.011904761904761904,0.06408521303258145,0.0005714285714285715,0.0,0.0,0.0,0.0
f__Ellin5301(62),0.029591168835558738,0.00038402457757296467,0.04831669403853283,0.0,0.0,0.009466342403524067,0.00038402457757296467,0.2252508904474422,0.4238337258579041,0.03517148364176206,0.01774878773476249,0.09564481905868437,0.0,0.009396216176315092,0.10481182265036817,0.0,0.0,0.0,0.0,0.0
f__Comamonadaceae(229),0.10502416281292745,0.011497796774534596,0.028826322390343738,0.011339511515910223,0.0274307409164428,0.032098846157131544,0.028842415791550065,0.05982924845815308,0.0856323182655747,0.06393576386564398,0.06487278207095915,0.11328266352700789,0.09019284058136408,0.12059756920178313,0.11501184977066099,0.04147599759433572,0.0,0.0001091703056768559,0.0,0.0
f__Planctomycetaceae(708),0.024001637707611243,0.002173237969307208,0.014303431214109284,0.00955298675223852,0.007449529972084695,0.027542223322915213,0.012943084782823546,0.10782731040673327,0.1319754845770697,0.14309060840821958,0.16914009917924883,0.0751650485314868,0.15436829869238222,0.008275585310469031,0.05067067503922082,0.052352098834358894,0.0,0.009168659299721247,0.0,0.0
f__Pirellulaceae(2303),0.015290756363460497,0.00380967655635676,0.004440579798980086,0.007116636914669711,0.00800225511122399,0.02575679819305553,0.0053361636959406294,0.11723265854968541,0.13845723453061032,0.16131477849285855,0.163955159718598,0.06271434310045854,0.16334090341601223,0.00870568903144405,0.06223539295581247,0.03754310224246196,0.0,0.01474787132837124,0.0,0.0
f__Nitrospiraceae(178),0.019401247095786382,0.001555393927233815,0.0016263188504695735,0.0,2.7950136955671086e-05,0.0266921503369912,0.007898030561821616,0.1067574282869278,0.2054857187558639,0.09577111816779085,0.13844040006971706,0.06760947798141176,0.13161582081008164,0.02420233511748375,0.0665592821835248,0.08405203926580955,0.0,0.022305288452130763,0.0,0.0
f__Caldilineaceae(275),0.025973221890637124,0.015818181818181815,0.017148760330578508,0.0024675324675324673,0.0009573283858998143,0.020259740259740255,0.004363636363636363,0.0908292473614439,0.19665423832883297,0.12842667181815248,0.1363686907269795,0.09408010267847995,0.14198003453304947,0.003957219251336898,0.09239360446372906,0.02832178932178931,0.0,0.0,0.0,0.0
f__A4b(468),0.011722112385955538,0.0032075842420670013,0.009895732922048713,0.0,0.0,0.004426129426129426,0.016599316289718766,0.16688300959292568,0.21530491482153963,0.1452650828155646,0.10309359271546353,0.15345662635748908,0.08224649060892525,0.00827567494234161,0.04889901778011618,0.026451210826210825,0.0,0.004273504273504274,0.0,0.0
f__Rhodospirillaceae(899),0.025024364147505394,0.002272921738995154,0.010215921282032542,0.0027852823962880896,0.0011482679558319157,0.009744800226673418,0.007878001588895811,0.10058629548955424,0.29031458329952176,0.10131758735005653,0.1323824311493192,0.057505088051972096,0.06090726492635485,0.02119992065719686,0.09876345780544056,0.07100195717259085,0.0,0.006951854761770837,0.0,0.0
f__Conexibacteraceae(96),0.09881979153178387,0.003472222222222222,0.03461129823237524,0.07376320003113994,0.008808913382859605,0.010594715995982606,0.010906012270499596,0.1013831196319686,0.38374462366954293,0.0366126627009998,0.013374247467448648,0.06345827500367267,0.0,0.04062124218374218,0.1101935216418596,0.009636154033902467,0.0,0.0,0.0,0.0
f__Methylocystaceae(57),0.12144699665676019,0.000649772579597141,0.02520245243357371,0.06058879392212725,0.008741412555295086,0.012490465293668955,0.05335543274139765,0.03154895786474732,0.33721947318438544,0.08920841991017431,0.011318538511520967,0.07640845114147939,0.015091325179044476,0.06671297809741746,0.07553552685131634,0.014481003077494305,0.0,0.0,0.0,0.0
f__Geobacteraceae(80),0.028458554632335115,0.0,0.0,0.0,0.0,0.00012019230769230767,0.0,0.2877545251295679,0.20545580475229053,0.1536924194461327,0.08343998143885042,0.03370558627313252,0.01981612082221838,0.0580803711307904,0.11736115173828261,0.01211529232870696,0.0,0.0,0.0,0.0
f__SAGMA-X(29),0.017241379310344827,0.0,0.0013262599469496023,0.0,0.0,0.011494252873563218,0.0,0.2657447391318359,0.2558804747347573,0.15681732061042405,0.08609637488947834,0.009946949602122016,0.0,0.001774087980984533,0.17643678160919543,0.017241379310344827,0.0,0.0,0.0,0.0
f__[Melioribacteraceae](21),0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.25941886549789284,0.26529164857432336,0.15003082024358622,0.10822510822510821,0.0,0.0202020202020202,0.0,0.10159344201897394,0.047619047619047616,0.0,0.0,0.0,0.0
f__Beijerinckiaceae(55),0.13198142490524908,0.007986467527227026,0.041320678558924046,0.09912313948755377,0.004827262035581381,0.0,0.04928768050591705,0.01570572045958069,0.28814399271826785,0.04413056342641186,0.026799085920694347,0.03697736337470843,0.027611166163001535,0.1287030178388785,0.08322838046620176,0.0014467838845296246,0.0,0.012727272727272722,0.0,0.0
f__Hyphomicrobiaceae(410),0.05830530811639363,0.004852334219785669,0.020467865711245342,0.0069923714892002045,0.005714107668533563,0.014699025184663239,0.03571282487911191,0.09220757981730558,0.20906923262136515,0.10411897935393784,0.06280385953386207,0.14315271088374473,0.0708110043436774,0.03937512885343567,0.08474205128849908,0.04600000627914152,0.0,0.0009756097560975611,0.0,0.0
f__Opitutaceae(392),0.012892361772409641,0.0030636982065553493,0.011959902973208612,0.00042517006802721087,0.00010204081632653062,0.0003299636129424862,0.00847338143595517,0.18554710453474282,0.2788785170526374,0.14930200472399835,0.04726110166637359,0.04923624965910302,0.041391670171383864,0.01890997019995246,0.16509921816256817,0.027127644943815237,0.0,0.0,0.0,0.0
f__Nocardiaceae(55),0.2568923161028424,0.0,0.04056927741138268,0.026656201656201653,0.03230654099075152,0.023701298701298702,0.05771274008116113,0.08629506813717339,0.22720763141815772,0.00040950040950040947,0.009561834561834561,0.018018733018733017,0.023300573300573304,0.06099014599014599,0.10445348629559156,0.03192465192465192,0.0,0.0,0.0,0.0
