,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
p__Euryarchaeota(1902),0.005881542475872714,0.0023592645869017813,0.004189561149677036,0.012618018785844006,0.02256078624601535,0.0005779076382065471,0.0008810150615521693,0.0761628789308037,0.03327660656539861,0.31033862736394896,0.23140801759461274,0.015563333314743378,0.021350270435041754,0.005336712819844335,0.03498494849197226,0.05681191224159921,0.0,0.16569859629796532,0.0,0.0
p__GN02(511),0.029866741217034757,0.0013046314416177427,0.01456993756406672,0.005942003202277174,0.00039138943248532285,0.14338628790683586,0.0,0.0327780884043115,0.014724474264591678,0.10939334637964775,0.2521183094723109,0.01638089025564564,0.160771444531358,0.0009784735812133072,0.1661634516820427,0.04927358350213432,0.0,0.0019569471624266144,0.0,0.0
p__Caldiserica(22),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08441558441558442,0.21057957194320834,0.39788620470438657,0.06818181818181819,0.05608028335301063,0.0034965034965034974,0.0,0.1414812460267006,0.03787878787878788,0.0,0.0,0.0,0.0
p__SC4(34),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19607843137254902,0.00980392156862745,0.6617647058823529,0.1323529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p__NC10(51),0.005482144548640713,0.0,0.0003699593044765076,0.0,0.0,0.0,0.0,0.26026178762528596,0.0804885245851825,0.4131807383099263,0.0477335089933722,0.07823346729996346,0.025374855824682817,0.0,0.07717237039938796,0.011702643109081562,0.0,0.0,0.0,0.0
p__TPD-58(25),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2621052631578947,0.05221052631578947,0.5369122807017543,0.13999999999999999,0.006666666666666665,0.0,0.0,0.0021052631578947364,0.0,0.0,0.0,0.0,0.0
p__GOUTA4(71),0.0,0.014084507042253518,0.0,0.0,0.0,0.0,0.0,0.3022681995761182,0.03818598660311475,0.5003750883389395,0.06622563664817184,0.031814415907207946,0.0007824726134585288,0.0,0.03677621283255086,0.009487480438184662,0.0,0.0,0.0,0.0
p__FBP(194),0.1260142424283057,0.05620974738737153,0.03310690672576492,0.012424002114723767,0.008269650779465343,0.0012886597938144334,0.06643868697320933,0.1269340940537784,0.39727258834794127,0.022112842243064715,0.00999664108725422,0.059781442458413124,0.001281123771628384,0.05311937849830936,0.020308985318628157,0.0054410080183276074,0.0,0.0,0.0,0.0
p__OD1(2270),0.0025001244431170516,0.001850220264317181,0.0019823788546255512,0.00044052863436123355,0.0,0.011271513393712207,0.0013215859030837006,0.12252507279975976,0.07282822416229966,0.08775581938611833,0.05548910755663408,0.04059467107235289,0.04376060982784653,0.002370463603943781,0.5277685108311487,0.026109451205005484,0.0,0.001431718061674009,0.0,0.0
p__Lentisphaerae(397),0.0003736817338832452,0.0037783375314861456,0.004391913711812956,0.02258237144887018,0.10463988152905028,0.007750680609622674,0.0,0.025813326628262172,0.014335175040464712,0.10092041320001016,0.38790738944465425,0.003439759233210114,0.11420055225063373,0.018407285409804297,0.0689056453169655,0.0869532510590445,0.0,0.03560033585222502,0.0,0.0
p__SR1(204),0.05514175367116542,0.0024509803921568623,0.021885875562346144,0.0024509803921568623,0.0,0.04591503267973856,0.0049019607843137246,0.02584841628959275,0.04322466748937337,0.07331057422969187,0.16308515830574652,0.13275109286138698,0.15813120702826586,0.035608182667006195,0.19223856209150322,0.033251633986928104,0.0,0.009803921568627449,0.0,0.0
p__KSB3(29),0.017241379310344824,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.002298850574712643,0.02357795461243737,0.7105069260241673,0.0,0.15119363395225463,0.0,0.017241379310344824,0.011273209549071617,0.0,0.0,0.0,0.0
p__WS4(40),0.0,0.0,0.025000000000000005,0.0,0.0,0.0,0.0,0.38021978021978026,0.21751831501831503,0.23601190476190478,0.025000000000000005,0.025000000000000005,0.0,0.0,0.09125000000000001,0.0,0.0,0.0,0.0,0.0
p__Armatimonadetes(1111),0.019130901556217193,0.001778749303501779,0.005641776485243628,0.0009000900090009003,0.0013940805845290415,0.00524672545415817,0.016447717746832114,0.27296906720359504,0.2629780807938844,0.17683323052068517,0.03334967688769523,0.08539049698513045,0.020136349541489428,0.023756343131604605,0.06673989213112048,0.00730682166531237,0.0,0.0,0.0,0.0
p__Actinobacteria(7588),0.07177512368145957,0.010282642856609245,0.032645611340403814,0.027254513278176615,0.028367950204845113,0.02015163460211383,0.019573529532094295,0.09099584340237321,0.2462876568786494,0.0692053641701542,0.06758806560167195,0.07876900026783427,0.03694930204472548,0.0787996384001428,0.0850757528713326,0.030630684164197577,0.0,0.005647686703216101,0.0,0.0
p__WS1(39),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615387,0.04957264957264957,0.5214896214896215,0.2661172161172161,0.05128205128205127,0.014957264957264956,0.0,0.04273504273504273,0.01282051282051282,0.0,0.02564102564102564,0.0,0.0
p__AC1(101),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04840484048404839,0.016344491592016345,0.5416367135945546,0.2576614804337577,0.0026585991932526584,0.0297029702970297,0.0,0.04418496381128129,0.039603960396039604,0.0,0.019801980198019802,0.0,0.0
p__Spirochaetes(1277),0.014977984976343488,0.0027627911722948287,0.03315700560031521,0.01875864740878672,0.04132289762639453,0.0008019548829617608,0.00024639113198569363,0.15786427091147043,0.03738865450058662,0.1362291673982228,0.31135983636649134,0.010877928787264731,0.06442429018554754,0.017002762053127663,0.0741744645185701,0.051019226335772584,0.0,0.027631726143863968,0.0,0.0
p__PAUC34f(93),0.03763440860215054,0.0,0.0,0.0,0.0,0.0,0.0,0.021505376344086023,0.0,0.1762989036831954,0.4410093724259222,0.010915607689801238,0.10378089652283201,0.0,0.02814524185491928,0.18071019287709333,0.0,0.0,0.0,0.0
p__OP9(37),0.0007112375533428164,0.08729000608059959,0.0,0.0,0.0,0.0,0.030981507823613086,0.0,0.007805832147937412,0.06148648648648648,0.6038855765059572,0.006588233351951157,0.053677570474882905,0.031531531531531536,0.0125,0.08935282885450858,0.0,0.01418918918918919,0.0,0.0
p__Hyd24-12(25),0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034666666666666665,0.6541515151515153,0.008,0.08787878787878788,0.0,0.013333333333333332,0.10196969696969697,0.0,0.06,0.0,0.0
